time_s,snd01,snd02,snd03,snd04,snd05,snd06,snd07,snd08,snd09,snd10,snd11,snd12,snd13,snd14,snd15,snd16,snd17,snd18,snd19,snd20,snd21,snd22
6.944000e-06,1.293000e-11,1.615000e-11,2.322000e-11,3.020000e-11,2.792000e-11,2.396000e-11,2.806000e-11,3.427000e-11,4.588000e-11,6.919000e-11,5.781000e-11,4.174000e-11,2.346000e-11,1.657000e-11,1.598000e-11,1.919000e-11,2.057000e-11,2.495000e-11,2.621000e-11,2.891000e-11,2.505000e-11,2.618000e-11
8.102000e-06,1.221000e-11,1.480000e-11,2.167000e-11,2.815000e-11,2.586000e-11,2.220000e-11,2.614000e-11,3.150000e-11,4.242000e-11,6.607000e-11,5.490000e-11,3.946000e-11,2.232000e-11,1.562000e-11,1.541000e-11,1.778000e-11,1.939000e-11,2.369000e-11,2.499000e-11,2.737000e-11,2.381000e-11,2.479000e-11
9.259000e-06,1.152000e-11,1.388000e-11,2.005000e-11,2.632000e-11,2.400000e-11,2.089000e-11,2.420000e-11,2.923000e-11,3.927000e-11,6.325000e-11,5.195000e-11,3.731000e-11,2.108000e-11,1.507000e-11,1.491000e-11,1.659000e-11,1.827000e-11,2.260000e-11,2.388000e-11,2.584000e-11,2.257000e-11,2.368000e-11
1.065000e-05,1.081000e-11,1.321000e-11,1.843000e-11,2.445000e-11,2.225000e-11,1.964000e-11,2.227000e-11,2.708000e-11,3.621000e-11,6.017000e-11,4.887000e-11,3.500000e-11,1.980000e-11,1.467000e-11,1.431000e-11,1.555000e-11,1.728000e-11,2.149000e-11,2.271000e-11,2.421000e-11,2.131000e-11,2.253000e-11
1.227000e-05,9.959000e-12,1.235000e-11,1.669000e-11,2.222000e-11,2.028000e-11,1.809000e-11,2.020000e-11,2.459000e-11,3.279000e-11,5.621000e-11,4.516000e-11,3.218000e-11,1.840000e-11,1.402000e-11,1.350000e-11,1.448000e-11,1.622000e-11,2.009000e-11,2.117000e-11,2.232000e-11,1.986000e-11,2.099000e-11
1.401000e-05,9.045000e-12,1.131000e-11,1.497000e-11,1.991000e-11,1.827000e-11,1.645000e-11,1.817000e-11,2.204000e-11,2.931000e-11,5.182000e-11,4.129000e-11,2.926000e-11,1.701000e-11,1.319000e-11,1.261000e-11,1.345000e-11,1.508000e-11,1.856000e-11,1.945000e-11,2.040000e-11,1.834000e-11,1.928000e-11
1.609000e-05,8.248000e-12,1.036000e-11,1.349000e-11,1.795000e-11,1.657000e-11,1.500000e-11,1.645000e-11,1.989000e-11,2.636000e-11,4.794000e-11,3.798000e-11,2.674000e-11,1.582000e-11,1.238000e-11,1.181000e-11,1.257000e-11,1.405000e-11,1.721000e-11,1.792000e-11,1.873000e-11,1.700000e-11,1.777000e-11
1.852000e-05,7.463000e-12,9.399000e-12,1.206000e-11,1.606000e-11,1.490000e-11,1.357000e-11,1.477000e-11,1.782000e-11,2.351000e-11,4.402000e-11,3.471000e-11,2.429000e-11,1.465000e-11,1.155000e-11,1.099000e-11,1.169000e-11,1.300000e-11,1.585000e-11,1.639000e-11,1.709000e-11,1.563000e-11,1.626000e-11
2.130000e-05,6.658000e-12,8.387000e-12,1.061000e-11,1.412000e-11,1.318000e-11,1.206000e-11,1.304000e-11,1.574000e-11,2.064000e-11,3.977000e-11,3.135000e-11,2.180000e-11,1.343000e-11,1.065000e-11,1.012000e-11,1.077000e-11,1.188000e-11,1.441000e-11,1.480000e-11,1.537000e-11,1.418000e-11,1.467000e-11
2.442000e-05,5.891000e-12,7.421000e-12,9.260000e-12,1.234000e-11,1.159000e-11,1.063000e-11,1.144000e-11,1.382000e-11,1.802000e-11,3.565000e-11,2.815000e-11,1.946000e-11,1.226000e-11,9.761000e-12,9.260000e-12,9.858000e-12,1.079000e-11,1.302000e-11,1.328000e-11,1.375000e-11,1.276000e-11,1.315000e-11
2.801000e-05,5.148000e-12,6.489000e-12,7.995000e-12,1.065000e-11,1.007000e-11,9.264000e-12,9.913000e-12,1.202000e-11,1.557000e-11,3.153000e-11,2.504000e-11,1.722000e-11,1.110000e-11,8.872000e-12,8.391000e-12,8.939000e-12,9.711000e-12,1.165000e-11,1.179000e-11,1.217000e-11,1.137000e-11,1.166000e-11
