sounding,dist_m,E_UTM13N,N_UTM13N,sensor_alt_m
1,0.0,324408.4,4316914.9,90.0
2,150.0,324283.6,4316831.1,87.0
3,286.5,324157.1,4316777.1,80.0
4,442.9,324017.2,4316706.6,73.0
5,567.2,323907.4,4316648.3,79.0
6,718.9,323780.1,4316565.4,77.0
7,863.5,323648.1,4316504.7,73.0
8,1007.5,323527.4,4316425.9,70.0
9,1131.9,323421.0,4316361.2,58.0
10,1283.6,323289.0,4316286.6,67.0
11,1415.7,323176.6,4316217.1,53.0
12,1567.4,323039.1,4316151.7,73.0
13,1714.3,322911.3,4316079.4,104.0
14,1843.0,322801.6,4316011.9,100.0
15,2003.6,322664.0,4315929.1,105.0
16,2151.2,322537.8,4315852.4,97.0
17,2273.8,322430.1,4315793.7,101.0
18,2427.1,322296.7,4315718.2,87.0
19,2555.8,322185.3,4315653.8,91.0
20,2718.2,322048.6,4315565.7,84.0
21,2843.6,321940.6,4315502.0,83.0
22,2991.2,321804.1,4315443.3,80.0
