frequency_hz,real_secondary,imag_secondary
100,-1.4692398552e-09,-5.37654916751e-09
187.381742286,-2.99758356177e-09,-8.83170897514e-09
351.119173422,-5.8216355029e-09,-1.40221721026e-08
657.933224658,-1.06925817008e-08,-2.14557049675e-08
1232.84673944,-1.84942227954e-08,-3.16743791956e-08
2310.12970008,-3.01528969586e-08,-4.54497713319e-08
4328.76128108,-4.68433835341e-08,-6.42596868446e-08
8111.3083079,-7.1117411357e-08,-9.06553624223e-08
15199.1108295,-1.09289979454e-07,-1.26789983395e-07
28480.3586844,-1.72100489703e-07,-1.67966141347e-07
53366.9923121,-2.63804057191e-07,-1.95047726022e-07
100000,-3.63979794569e-07,-1.88482688085e-07
