frequency_hz,real_secondary,imag_secondary
100,-1.418287959290e-09,-5.314890163734e-09
158.4893192,-2.744057422103e-09,-7.995753181712e-09
251.1886432,-3.848342525806e-09,-1.069764741443e-08
398.1071706,-6.134403179546e-09,-1.533800148531e-08
630.9573445,-1.164917870963e-08,-2.100905964718e-08
1000,-1.675930595059e-08,-2.857238052235e-08
1584.893192,-2.247538682828e-08,-3.511579490440e-08
2511.886432,-3.259850596064e-08,-4.788822223469e-08
3981.071706,-4.429960878061e-08,-6.235105930564e-08
6309.573445,-6.275230029820e-08,-8.004464797557e-08
10000,-7.838651141011e-08,-9.952932860358e-08
15848.93192,-1.085802174714e-07,-1.276246406482e-07
25118.86432,-1.566465009870e-07,-1.572663914657e-07
39810.71706,-2.083638399454e-07,-1.821088848348e-07
63095.73445,-2.861765919704e-07,-1.742670675854e-07
100000,-3.745461682256e-07,-1.934802100092e-07
