time_s,snd01,snd02,snd03,snd04,snd05,snd06,snd07,snd08,snd09,snd10,snd11,snd12,snd13,snd14,snd15,snd16,snd17,snd18,snd19,snd20,snd21,snd22,snd23,snd24,snd25,snd26,snd27,snd28,snd29,snd30,snd31,snd32,snd33,snd34,snd35,snd36,snd37,snd38,snd39,snd40,snd41,snd42,snd43,snd44,snd45,snd46,snd47,snd48,snd49,snd50,snd51,snd52,snd53,snd54,snd55,snd56,snd57,snd58,snd59,snd60,snd61,snd62,snd63,snd64,snd65,snd66,snd67,snd68,snd69,snd70
6.944000e-06,1.207000e-11,4.110000e-11,1.299000e-11,5.903000e-12,8.041000e-12,1.220000e-11,4.470000e-11,2.341000e-11,2.618000e-11,3.528000e-11,9.774000e-12,8.294000e-12,5.030000e-11,2.901000e-11,4.330000e-11,6.894000e-11,3.414000e-11,8.665000e-12,1.626000e-11,4.402000e-11,7.771000e-11,2.941000e-11,6.325000e-11,5.271000e-11,2.564000e-11,2.375000e-11,2.377000e-11,6.860000e-11,4.048000e-11,4.061000e-11,4.849000e-11,4.225000e-11,6.793000e-11,3.753000e-11,7.118000e-11,2.298000e-11,9.125000e-12,2.305000e-11,1.449000e-11,3.282000e-11,5.722000e-11,3.736000e-11,6.173000e-11,2.407000e-11,7.902000e-11,9.289000e-11,3.000000e-11,4.807000e-11,8.218000e-12,3.746000e-11,6.831000e-11,7.632000e-11,4.731000e-12,2.072000e-11,5.591000e-11,4.537000e-11,1.113000e-11,1.818000e-11,3.681000e-11,1.316000e-11,2.535000e-10,1.762000e-11,2.026000e-11,4.824000e-12,1.037000e-11,1.537000e-10,4.731000e-11,1.936000e-11,3.029000e-11,1.832000e-11
8.102000e-06,1.125000e-11,3.695000e-11,1.116000e-11,5.815000e-12,7.636000e-12,1.209000e-11,4.137000e-11,2.114000e-11,2.479000e-11,3.273000e-11,8.964000e-12,7.986000e-12,4.642000e-11,2.546000e-11,4.079000e-11,6.304000e-11,3.234000e-11,8.479000e-12,1.711000e-11,4.267000e-11,7.202000e-11,2.865000e-11,5.933000e-11,4.967000e-11,2.340000e-11,2.201000e-11,2.344000e-11,6.232000e-11,3.873000e-11,3.885000e-11,4.600000e-11,3.945000e-11,6.544000e-11,3.496000e-11,6.578000e-11,2.180000e-11,8.226000e-12,2.238000e-11,1.297000e-11,3.084000e-11,5.338000e-11,3.519000e-11,5.798000e-11,2.319000e-11,7.493000e-11,8.707000e-11,2.875000e-11,4.655000e-11,8.096000e-12,3.471000e-11,6.434000e-11,7.177000e-11,4.609000e-12,1.783000e-11,5.300000e-11,4.339000e-11,1.052000e-11,1.755000e-11,3.524000e-11,1.281000e-11,2.398000e-10,1.641000e-11,1.926000e-11,4.786000e-12,9.154000e-12,1.453000e-10,4.545000e-11,1.841000e-11,2.901000e-11,1.579000e-11
9.259000e-06,1.044000e-11,3.349000e-11,9.702000e-12,5.671000e-12,7.118000e-12,1.191000e-11,3.831000e-11,1.918000e-11,2.368000e-11,3.022000e-11,8.028000e-12,7.771000e-12,4.318000e-11,2.250000e-11,3.832000e-11,5.764000e-11,3.056000e-11,8.269000e-12,1.725000e-11,4.144000e-11,6.683000e-11,2.806000e-11,5.562000e-11,4.676000e-11,2.145000e-11,2.049000e-11,2.317000e-11,5.701000e-11,3.716000e-11,3.723000e-11,4.368000e-11,3.677000e-11,6.295000e-11,3.267000e-11,6.089000e-11,2.066000e-11,7.430000e-12,2.175000e-11,1.165000e-11,2.909000e-11,4.992000e-11,3.324000e-11,5.427000e-11,2.241000e-11,7.118000e-11,8.168000e-11,2.752000e-11,4.516000e-11,7.927000e-12,3.221000e-11,6.089000e-11,6.772000e-11,4.394000e-12,1.550000e-11,5.043000e-11,4.147000e-11,9.959000e-12,1.692000e-11,3.369000e-11,1.239000e-11,2.274000e-10,1.541000e-11,1.856000e-11,4.706000e-12,8.260000e-12,1.377000e-10,4.368000e-11,1.748000e-11,2.785000e-11,1.367000e-11
1.065000e-05,9.673000e-12,3.027000e-11,8.450000e-12,5.444000e-12,6.607000e-12,1.165000e-11,3.522000e-11,1.736000e-11,2.253000e-11,2.780000e-11,7.202000e-12,7.421000e-12,4.009000e-11,1.989000e-11,3.567000e-11,5.254000e-11,2.865000e-11,8.049000e-12,1.692000e-11,4.034000e-11,6.181000e-11,2.725000e-11,5.182000e-11,4.373000e-11,1.965000e-11,1.913000e-11,2.290000e-11,5.207000e-11,3.552000e-11,3.557000e-11,4.139000e-11,3.404000e-11,6.017000e-11,3.039000e-11,5.625000e-11,1.950000e-11,6.704000e-12,2.118000e-11,1.047000e-11,2.748000e-11,4.659000e-11,3.135000e-11,5.051000e-11,2.165000e-11,6.746000e-11,7.628000e-11,2.629000e-11,4.381000e-11,7.691000e-12,2.986000e-11,5.747000e-11,6.371000e-11,4.079000e-12,1.346000e-11,4.786000e-11,3.955000e-11,9.500000e-12,1.620000e-11,3.206000e-11,1.197000e-11,2.153000e-10,1.452000e-11,1.787000e-11,4.571000e-12,7.590000e-12,1.304000e-10,4.188000e-11,1.657000e-11,2.668000e-11,1.182000e-11
1.227000e-05,8.888000e-12,2.681000e-11,7.206000e-12,5.123000e-12,6.089000e-12,1.134000e-11,3.167000e-11,1.537000e-11,2.099000e-11,2.523000e-11,6.569000e-12,6.941000e-12,3.654000e-11,1.730000e-11,3.255000e-11,4.723000e-11,2.638000e-11,7.801000e-12,1.647000e-11,3.928000e-11,5.617000e-11,2.596000e-11,4.782000e-11,4.042000e-11,1.778000e-11,1.761000e-11,2.253000e-11,4.638000e-11,3.358000e-11,3.369000e-11,3.892000e-11,3.108000e-11,5.667000e-11,2.775000e-11,5.106000e-11,1.816000e-11,5.987000e-12,2.048000e-11,9.281000e-12,2.579000e-11,4.271000e-11,2.915000e-11,4.626000e-11,2.083000e-11,6.316000e-11,7.016000e-11,2.489000e-11,4.217000e-11,7.379000e-12,2.731000e-11,5.351000e-11,5.907000e-11,3.702000e-12,1.131000e-11,4.474000e-11,3.728000e-11,9.104000e-12,1.531000e-11,3.014000e-11,1.149000e-11,2.010000e-10,1.351000e-11,1.672000e-11,4.385000e-12,6.953000e-12,1.221000e-10,3.971000e-11,1.552000e-11,2.538000e-11,9.989000e-12
1.401000e-05,8.146000e-12,2.346000e-11,6.059000e-12,4.773000e-12,5.583000e-12,1.103000e-11,2.813000e-11,1.344000e-11,1.928000e-11,2.280000e-11,6.063000e-12,6.498000e-12,3.290000e-11,1.491000e-11,2.938000e-11,4.204000e-11,2.407000e-11,7.514000e-12,1.601000e-11,3.822000e-11,5.051000e-11,2.448000e-11,4.381000e-11,3.701000e-11,1.601000e-11,1.604000e-11,2.210000e-11,4.051000e-11,3.152000e-11,3.171000e-11,3.638000e-11,2.810000e-11,5.292000e-11,2.502000e-11,4.583000e-11,1.681000e-11,5.300000e-12,1.970000e-11,8.134000e-12,2.407000e-11,3.868000e-11,2.685000e-11,4.201000e-11,1.996000e-11,5.861000e-11,6.388000e-11,2.343000e-11,4.038000e-11,7.042000e-12,2.476000e-11,4.942000e-11,5.427000e-11,3.321000e-12,9.281000e-12,4.136000e-11,3.489000e-11,8.724000e-12,1.438000e-11,2.815000e-11,1.100000e-11,1.859000e-10,1.248000e-11,1.526000e-11,4.182000e-12,6.363000e-12,1.135000e-10,3.736000e-11,1.442000e-11,2.404000e-11,8.336000e-12
1.609000e-05,7.531000e-12,2.076000e-11,5.199000e-12,4.448000e-12,5.169000e-12,1.073000e-11,2.522000e-11,1.187000e-11,1.777000e-11,2.082000e-11,5.633000e-12,6.165000e-12,2.985000e-11,1.306000e-11,2.671000e-11,3.736000e-11,2.213000e-11,7.206000e-12,1.555000e-11,3.719000e-11,4.579000e-11,2.312000e-11,4.016000e-11,3.385000e-11,1.455000e-11,1.469000e-11,2.167000e-11,3.562000e-11,2.949000e-11,2.977000e-11,3.396000e-11,2.537000e-11,4.955000e-11,2.269000e-11,4.145000e-11,1.566000e-11,4.689000e-12,1.894000e-11,7.101000e-12,2.244000e-11,3.520000e-11,2.485000e-11,3.843000e-11,1.911000e-11,5.460000e-11,5.857000e-11,2.214000e-11,3.876000e-11,6.704000e-12,2.264000e-11,4.583000e-11,5.014000e-11,2.973000e-12,7.746000e-12,3.841000e-11,3.280000e-11,8.387000e-12,1.357000e-11,2.640000e-11,1.054000e-11,1.731000e-10,1.163000e-11,1.390000e-11,3.977000e-12,5.899000e-12,1.061000e-10,3.527000e-11,1.343000e-11,2.273000e-11,7.113000e-12
1.852000e-05,6.953000e-12,1.826000e-11,4.470000e-12,4.128000e-12,4.798000e-12,1.043000e-11,2.247000e-11,1.044000e-11,1.626000e-11,1.898000e-11,5.220000e-12,5.827000e-12,2.692000e-11,1.141000e-11,2.414000e-11,3.307000e-11,2.024000e-11,6.898000e-12,1.505000e-11,3.614000e-11,4.123000e-11,2.171000e-11,3.670000e-11,3.084000e-11,1.316000e-11,1.338000e-11,2.122000e-11,3.100000e-11,2.745000e-11,2.783000e-11,3.158000e-11,2.278000e-11,4.613000e-11,2.038000e-11,3.720000e-11,1.450000e-11,4.121000e-12,1.812000e-11,6.165000e-12,2.083000e-11,3.180000e-11,2.289000e-11,3.502000e-11,1.825000e-11,5.060000e-11,5.338000e-11,2.080000e-11,3.706000e-11,6.350000e-12,2.056000e-11,4.229000e-11,4.609000e-11,2.641000e-12,6.447000e-12,3.544000e-11,3.070000e-11,8.041000e-12,1.276000e-11,2.466000e-11,1.006000e-11,1.602000e-10,1.083000e-11,1.250000e-11,3.771000e-12,5.486000e-12,9.871000e-11,3.312000e-11,1.242000e-11,2.142000e-11,6.101000e-12
2.130000e-05,6.367000e-12,1.580000e-11,3.798000e-12,3.800000e-12,4.436000e-12,1.012000e-11,1.972000e-11,9.061000e-12,1.467000e-11,1.714000e-11,4.811000e-12,5.477000e-12,2.396000e-11,9.837000e-12,2.154000e-11,2.900000e-11,1.830000e-11,6.574000e-12,1.449000e-11,3.503000e-11,3.662000e-11,2.017000e-11,3.331000e-11,2.787000e-11,1.178000e-11,1.205000e-11,2.070000e-11,2.640000e-11,2.530000e-11,2.580000e-11,2.915000e-11,2.025000e-11,4.255000e-11,1.799000e-11,3.288000e-11,1.327000e-11,3.571000e-12,1.720000e-11,5.288000e-12,1.921000e-11,2.831000e-11,2.088000e-11,3.162000e-11,1.735000e-11,4.634000e-11,4.807000e-11,1.938000e-11,3.517000e-11,5.971000e-12,1.844000e-11,3.860000e-11,4.196000e-11,2.316000e-12,5.271000e-12,3.234000e-11,2.850000e-11,7.657000e-12,1.191000e-11,2.284000e-11,9.534000e-12,1.467000e-10,1.003000e-11,1.102000e-11,3.558000e-12,5.081000e-12,9.104000e-11,3.081000e-11,1.134000e-11,2.005000e-11,5.212000e-12
2.442000e-05,5.840000e-12,1.366000e-11,3.263000e-12,3.485000e-12,4.103000e-12,9.808000e-12,1.726000e-11,7.877000e-12,1.315000e-11,1.550000e-11,4.419000e-12,5.119000e-12,2.127000e-11,8.522000e-12,1.916000e-11,2.526000e-11,1.649000e-11,6.241000e-12,1.391000e-11,3.386000e-11,3.242000e-11,1.862000e-11,3.008000e-11,2.502000e-11,1.054000e-11,1.084000e-11,2.014000e-11,2.235000e-11,2.311000e-11,2.376000e-11,2.675000e-11,1.785000e-11,3.906000e-11,1.577000e-11,2.894000e-11,1.208000e-11,3.057000e-12,1.626000e-11,4.495000e-12,1.760000e-11,2.510000e-11,1.899000e-11,2.850000e-11,1.642000e-11,4.221000e-11,4.314000e-11,1.798000e-11,3.325000e-11,5.570000e-12,1.648000e-11,3.506000e-11,3.812000e-11,2.002000e-12,4.356000e-12,2.939000e-11,2.638000e-11,7.261000e-12,1.108000e-11,2.111000e-11,8.994000e-12,1.338000e-10,9.302000e-12,9.614000e-12,3.304000e-12,4.727000e-12,8.374000e-11,2.855000e-11,1.029000e-11,1.867000e-11,4.545000e-12
