sounding,easting_m,northing_m,dist_m,sensor_alt_m
1,320349.2,4314551.7,0.0,74.0
2,320405.1,4305391.7,9160.2,47.0
3,320600.2,4303843.0,10721.1,64.0
4,320700.1,4314795.4,21674.0,162.0
5,320927.9,4302805.3,33666.2,125.0
6,321566.3,4313004.1,43885.0,124.0
7,321703.5,4303833.0,53057.1,62.0
8,321749.6,4305017.8,54242.8,62.0
9,321804.1,4315443.3,64668.5,80.0
10,321814.9,4302747.6,77364.2,65.0
11,321970.9,4312070.0,86687.9,137.0
12,321977.9,4314372.7,88990.6,150.0
13,322801.6,4303875.9,99519.6,57.0
14,322801.9,4305121.4,100765.1,38.0
15,322890.3,4312596.9,108241.2,56.0
16,322955.4,4313796.5,109442.5,45.0
17,323024.0,4314981.4,110629.4,66.0
18,323106.9,4302328.8,123282.3,151.0
19,323172.0,4308139.8,129093.7,93.0
20,323523.2,4308338.2,129497.0,78.0
21,323645.6,4303799.6,134037.3,50.0
22,323726.4,4313080.6,143318.6,95.0
23,323782.0,4314268.8,144508.1,56.0
24,323828.7,4302744.1,156032.9,57.0
25,323836.5,4315442.2,168731.0,62.0
26,323928.0,4305114.3,179059.3,89.0
27,324076.5,4308665.9,182614.0,91.0
28,324184.5,4305919.0,185363.0,44.0
29,324568.0,4314726.3,194178.7,88.0
30,324690.1,4303246.4,205659.2,73.0
31,324896.3,4303361.8,205895.5,63.0
32,324906.6,4309142.8,211676.5,79.0
33,325004.3,4311512.5,214048.3,60.0
34,325022.4,4306405.7,219155.1,75.0
35,325034.3,4305148.8,220412.1,45.0
36,325080.1,4308066.7,223330.3,97.0
37,325172.0,4315074.6,230338.8,89.0
38,325428.3,4310603.9,234816.9,91.0
39,326003.8,4315551.4,239797.7,83.0
40,326051.9,4304028.8,251320.4,84.0
41,326101.2,4305195.4,252488.1,59.0
42,326138.4,4306388.0,253681.2,82.0
43,326237.1,4308761.5,256056.8,51.0
44,326302.8,4309946.2,257243.3,97.0
45,326367.2,4311150.0,258448.8,64.0
46,326392.7,4312307.5,259606.6,46.0
47,326419.4,4307208.7,264705.5,95.0
48,326570.4,4302013.1,269903.3,80.0
49,326756.4,4315985.5,283876.9,151.0
50,326857.2,4312589.2,287274.7,69.0
51,326936.6,4305693.2,294171.2,56.0
52,327001.6,4307559.1,296038.2,55.0
53,327121.8,4310435.0,298916.6,146.0
54,327188.4,4311616.0,300099.5,47.0
55,327304.4,4302448.8,309267.4,64.0
56,327376.1,4306494.8,313314.1,65.0
57,327509.2,4309419.8,316242.1,113.0
58,327940.8,4302811.9,322864.1,98.0
59,328239.5,4306506.1,326570.3,86.0
60,328374.7,4307664.5,327736.6,141.0
61,328391.5,4308846.4,328918.6,34.0
62,328456.1,4310045.3,330119.2,67.0
63,328532.7,4312401.9,332477.1,85.0
64,328544.0,4311246.2,333632.8,159.0
65,328641.6,4313610.1,335998.7,45.0
66,329261.0,4309348.8,340304.8,46.0
67,329303.9,4310528.4,341485.2,75.0
68,329325.5,4314004.0,344960.9,72.0
69,329354.8,4311713.4,347251.7,100.0
70,329394.3,4312899.6,348438.5,59.0
