depth_center_m,snd01,snd02,snd03,snd04,snd05,snd06,snd07,snd08,snd09,snd10,snd11,snd12,snd13,snd14,snd15,snd16,snd17,snd18,snd19,snd20,snd21,snd22
2,787,581.8,401.6,341.3,343.7,397,417,317.6,267.3,123.1,222.5,156,148.1,289.8,327.4,429.6,269.9,396.8,249.8,323.4,287.3,471.6
6.25,779.9,589.2,382.4,338.9,336.4,437.5,399.4,321,295.2,77.1,248,147.2,141.5,311.2,289.6,409.7,258,323,181,239.6,281.1,401.9
10.95,785,594.3,373.8,324.7,320.9,426.2,394.5,319.3,338.8,71.9,243.7,178.5,133.3,308.4,282.2,378.4,234.6,283.7,178,188.5,261.3,353.5
16.2,785.1,583.1,371.8,304.4,304,411.2,385.5,310,331.9,77.5,230.8,198.5,127.7,291.2,279.4,344.1,211.8,247.4,173,189.1,245.5,316.6
22.1,756.2,561.5,366,282.4,289.3,387.6,367.2,293.6,305.9,92.8,208.1,193,116.4,270.2,260.4,304.2,193.7,216.7,157,178,238.6,284
28.7,674.2,528.7,353.8,262.7,278.1,363.8,341.2,274.1,274,117.4,179.4,177.7,115.6,249.9,224.8,266.5,172.7,183.5,146.5,165.8,233.6,258.4
36.05,542.3,480.1,338,248.8,271,334.4,310.9,254.3,244.7,135.9,160.3,163.7,135.6,215,184.6,225.6,152.8,153.2,146.5,168.7,229.3,242.9
44.2,454.9,421.3,325.8,244.9,270.8,305.2,281.1,237.2,219.4,133.9,144.1,153.8,143.4,177.1,153,183.9,141.4,134.4,158.9,189.8,220.4,240.2
53.35,389.5,362.7,322,255.8,278.3,280.5,257.8,226.1,208.1,146.4,127.7,144.1,146.3,144.2,136.8,150.7,143.8,134.8,183.3,222.7,207,250
63.55,335.5,312.9,333,281.9,285.4,264.7,247.1,223.1,209.1,200.7,116.8,138.3,155.7,129,141.4,134.9,164.1,159,216.3,250.2,202,261.8
74.9,303.6,278,358.3,316.8,290.5,264.6,253.8,229.2,217.5,284.5,117.4,146.6,172.8,141.4,167.3,145.1,203.9,203.9,254.6,264.5,215.3,273.1
87.6,301.9,270.7,386.3,358.3,307.9,288.4,282,246.5,231.2,395.4,150,176.4,197.2,181.9,216.2,187.7,261.9,261.4,295.4,278,250.5,320.3
101.8,347.7,322.2,422.8,410.1,346.2,338.2,335,280.4,254.1,511.3,244.7,225,230.5,245.9,288.3,261,333.8,325.1,338.1,296.1,278.4,396.2
117.7,451,453.1,498.3,475,408.4,413.7,413.3,337.2,294.7,618.2,381.3,282.7,267.9,327.5,378.1,357.7,412.9,391.8,388.3,331.9,369.4,496.4
135.3,605.9,651.3,628.7,557.9,500.5,514.2,510.6,417.1,358.4,708.1,523,343.1,304.4,414.9,472,465.7,491.5,460,453.7,405.8,530.7,618
155,786.7,892.5,797.4,657.9,618.3,630.2,613.2,510.4,441.2,771.2,645.9,401.2,332.4,491.3,554.3,570.2,561.2,526.7,537.7,518.4,717.5,757.7
177.1,957.6,1143,976,765.8,747.2,742.3,701.4,598.8,528.7,795.9,734.8,449.5,344.9,541.1,610.9,655.7,612.7,586.5,635.4,657.6,910.3,903.4
201.6,1086,1362,1136,864.2,863.6,824.2,750.9,658.1,599.5,772.2,777.2,478.8,339.7,555.6,630.5,707.3,636.3,631,735.4,808.8,1094,1043
229.1,1146,1505,1249,930.2,937.5,845.6,736.2,661.6,630.5,695.2,764.8,482,317.9,532.5,604.1,711.7,623.1,650.3,821.1,954.2,1247,1160
259.6,1123,1539,1283,936.5,935.6,777.5,635.7,585.3,600.4,568.2,695.5,455.7,283.8,475.2,526.7,659.3,566,634.6,873.4,1073,1346,1239
293.9,1006,1436,1211,855.1,827.6,603,448.8,421.9,496.2,405.9,576.4,402.1,243.9,392.2,402.3,548.5,464.3,576.4,873.2,1141,1369,1270
332,797.4,1184,1010,667.2,603.8,349.4,228.3,213.8,328.7,237,427.2,330.5,205.4,295.5,252.5,394.4,329.4,475.1,805,1140,1301,1243
374.6,523.6,802.8,690.1,393.2,316,123,74.9,64.8,155.5,112.4,281.5,256.8,174,199.7,122.9,235.3,191.7,343.5,664,1057,1138,1159
422.1,257.5,384.1,336.5,139.8,97.4,26.7,25,25,53.7,65.6,179.6,198.8,152.1,121.9,57.3,120.1,92.9,210.9,465.9,893,894.3,1026
475.1,92.6,103.1,103.8,28.8,24.5,52.9,72.3,85.8,55.7,108.3,147.7,169,140.9,82.4,64.2,72.3,51.8,111.6,254.7,670.2,604,862.8
534.4,48.6,30.8,44.4,51,75,156.4,167.8,206.7,157.5,215.4,188.4,172,142.7,96.7,128.2,82.2,53.8,61,96.7,432.6,327.7,697.6
600.5,78.5,115.5,105.7,149.3,198.2,290.9,262.6,324.8,311.9,354,286.5,206,160.2,157.3,222.5,125.4,74.8,50.6,32.3,237,136.2,564.9
674.2,149.8,265,231.7,279.1,332,406,342.9,411.4,448.2,492,417.1,266.3,194.6,240.7,323.1,191,118.1,73.9,44.5,124.7,62.1,493.8
756.5,281,473.9,408.6,435.9,484.6,526.4,435.3,490.5,557.3,622.6,565.7,346.8,246,331.1,428.2,282,201.6,143.7,106.2,98.3,88.9,503.6
1000,474.5,864.6,697.6,679.6,725.1,701.5,543.5,578,661.7,748.6,744.7,427.6,297.7,423.1,543.9,375.6,324.2,280,300.2,173,354.5,589.9
