time_s,dBdt_E603036_N6413476,dBdt_E611529_N6405000,dBdt_E619832_N6396700,dBdt_E628394_N6388139,dBdt_E637139_N6379388
8.569500e-05,1.329720e-09,1.512840e-09,1.237360e-09,1.286400e-09,1.208830e-09
1.091950e-04,9.197260e-10,1.075980e-09,8.536660e-10,7.557480e-10,7.991740e-10
1.381950e-04,6.507480e-10,7.835170e-10,6.219950e-10,4.500690e-10,5.344980e-10
1.751950e-04,4.584990e-10,5.682510e-10,4.624440e-10,2.684280e-10,3.529020e-10
2.216950e-04,3.207150e-10,4.058670e-10,3.473280e-10,1.612820e-10,2.307970e-10
2.796950e-04,2.228270e-10,2.840510e-10,2.617410e-10,9.886250e-11,1.505660e-10
3.531950e-04,1.523460e-10,1.928430e-10,1.949500e-10,6.167530e-11,9.770450e-11
4.456950e-04,1.028280e-10,1.270160e-10,1.428650e-10,3.918830e-11,6.408250e-11
5.621950e-04,6.868110e-11,8.156480e-11,1.021910e-10,2.540360e-11,4.242830e-11
7.086950e-04,4.554100e-11,5.132150e-11,7.147130e-11,1.671910e-11,2.844540e-11
8.931950e-04,2.996720e-11,3.176030e-11,4.879190e-11,1.108240e-11,1.914190e-11
1.125695e-03,1.955690e-11,1.948170e-11,3.239010e-11,7.359070e-12,1.292300e-11
1.418195e-03,1.260140e-11,1.185080e-11,2.117330e-11,4.852920e-12,8.660710e-12
1.786195e-03,8.012700e-12,7.211810e-12,1.355280e-11,3.164280e-12,5.697430e-12
2.249695e-03,4.985710e-12,4.403620e-12,8.533140e-12,2.047250e-12,3.648650e-12
2.833195e-03,3.006300e-12,2.677020e-12,5.350360e-12,1.319650e-12,2.284240e-12
3.567695e-03,1.759910e-12,1.591410e-12,3.265750e-12,8.384760e-13,1.379070e-12
4.492695e-03,9.942720e-13,9.393200e-13,1.926890e-12,5.250790e-13,8.157100e-13
5.657195e-03,5.499700e-13,5.526910e-13,1.102940e-12,3.231950e-13,4.795230e-13
7.122695e-03,3.001520e-13,3.229940e-13,6.183980e-13,1.960130e-13,2.814990e-13
8.839195e-03,1.690410e-13,1.935410e-13,3.548560e-13,1.214660e-13,1.696610e-13
