72
# x	 y
0 -8.727
0.953939201	-8.427
1.9538787	-8.438
2.948350921	-8.333
3.941245176	-8.214
4.924543706	-8.032
5.918475293	-7.922
6.916961648	-7.867
7.914911546	-7.803
8.908953296	-7.694
9.882143925	-7.464
10.87954856	-7.392
11.87853554	-7.347
12.87352298	-7.247
13.85569201	-7.059
14.8484659	-6.939
15.84722511	-6.8892
16.84598432	-6.8394
17.84474353	-6.7896
18.84350274	-6.7398
19.84226195	-6.69
20.83744837	-6.592
21.82973058	-6.468
22.82274418	-6.586
23.82022049	-6.515
24.81982842	-6.487
25.81723305	-6.415
26.81722505	-6.411
27.81711254	-6.426
28.81674798	-6.399
29.80940048	-6.278
30.80438792	-6.378
31.80005403	-6.285
32.78105556	-6.091
33.77573692	-5.988
34.77497613	-5.949
35.77471159	-5.926
36.76100516	-5.761
37.7521212	-5.628
38.74489509	-5.508
39.74144463	-5.425
40.72872322	-5.266
41.71238983	-5.086
42.70643158	-4.977
43.67467741	-4.727
44.66792663	-4.611
45.64751787	-4.41
46.63863391	-4.277
47.62302407	-4.101
48.62289606	-4.117
49.61492631	-3.991
50.60464899	-3.848
51.58037385	-3.629
52.57066623	-3.49
53.55245032	-3.3
54.54052117	-3.146
55.53216577	-3.017
56.49804309	-2.758
57.45745749	-2.476
58.43621946	-2.271
59.40674458	-2.03
60.38040571	-1.802
61.37055722	-1.662
62.32481033	-1.363
63.30810886	-1.181
64.29177547	-1.001
65.27470171	-0.817
66.26759597	-0.698
67.24899089	-0.506
68.24417731	-0.408
69.24011907	-0.318
70.18820978	0
936
# a	b	m	n	rhoa	err	u 	i
0	37	18	19	173.23	2.13	7.632	47.332
0	35	17	18	163.88	0.91	6.161	36.138
0	33	16	17	131.34	0.53	13.84	90.043
0	31	15	16	116.12	2.53	12.837	83.354
0	29	14	15	119.69	2.88	7.708	42.487
0	27	13	14	146.01	2.82	10.179	39.863
0	25	12	13	165.3	2.32	4.489	13.309
0	23	11	12	179.46	0.44	16.619	38.404
0	21	10	11	151.57	0.88	15.779	35.977
0	19	9	10	153.9	2.47	16.734	30.743
0	17	8	9	134.51	0.61	16.39	27.563
0	15	7	8	163.63	0.28	15.97	17.17
0	13	6	7	196.66	0.27	15.75	10.568
0	11	5	6	244.6	1.1	15.464	5.958
0	9	4	5	222.02	0.61	15.168	4.292
0	7	3	4	229.34	1.59	14.938	2.456
0	5	2	3	182.68	0.75	14.614	1.508
0	3	1	2	211.59	1.24	15.817	0.47
1	38	19	20	211.71	1.15	8.864	44.984
1	36	18	19	172.31	0.52	6.753	37.676
1	34	17	18	142.88	0.92	14.174	84.769
1	32	16	17	122.72	0.29	14.394	88.432
1	30	15	16	110.62	1.74	12.722	75.874
1	28	14	15	111.93	0.82	10.115	51.669
1	26	13	14	150.4	2.29	12.016	39.153
1	24	12	13	149.91	0.53	16.314	45.127
1	22	11	12	176.27	1.32	16.113	31.589
1	20	10	11	149.87	0.93	15.435	29.119
1	18	9	10	158.38	2.96	16.276	23.245
1	16	8	9	137.46	0.69	15.798	20.22
1	14	7	8	165.59	0.82	15.846	12.626
1	12	6	7	201.23	0.53	15.712	7.359
1	10	5	6	246.49	0.8	15.521	3.956
1	8	4	5	218.79	0.58	15.149	2.61
