x_m,y_m,total_field_anomaly_nT
28988.63,65375.95,46.00
252.87,22269.01,-39.00
151.16,24326.11,-40.00
538.95,23067.39,-38.00
146.92,31206.86,-40.00
0.00,35412.25,-29.00
1106.15,20437.63,-36.00
765.68,26560.02,-43.00
689.40,30199.43,-41.00
445.71,34135.73,-32.00
365.89,37487.15,-27.00
185.06,41429.01,-39.00
159.64,43535.04,-30.00
1.41,47360.14,-27.00
102.42,44549.14,-31.00
1332.88,22413.56,-37.00
1105.44,29357.68,-39.00
840.56,35098.68,-32.00
808.07,36976.76,-31.00
554.49,40998.68,-39.00
483.14,43027.99,-25.00
483.14,45983.55,-26.00
315.03,50376.86,-14.00
76.99,54394.33,-5.00
1724.91,21521.78,-31.00
1308.16,32514.51,-36.00
1168.30,36922.28,-30.00
1084.95,42355.26,-60.00
960.64,43591.75,-25.00
705.64,45692.22,-24.00
717.65,49948.76,-16.00
517.76,52696.39,-24.00
508.57,56400.29,-1.00
2184.74,21360.55,-31.00
2111.99,23298.67,-35.00
1884.54,28581.54,-44.00
1739.74,30209.44,-45.00
1661.34,33064.92,-37.00
1716.43,34401.49,-36.00
1422.59,37963.06,-33.00
1428.24,41037.60,-44.00
1371.73,42390.84,-55.00
1323.70,43632.89,-25.00
1193.03,46408.31,-28.00
1089.19,48894.63,-32.00
1031.98,50401.32,-14.00
933.09,52817.59,-9.00
745.20,55621.93,-5.00
678.10,57630.11,11.00
650.55,60304.34,11.00
2540.04,22294.58,-34.00
2335.20,27075.96,-41.00
2126.82,31986.33,-41.00
2003.21,34238.03,-36.00
1897.96,37668.39,-39.00
1811.08,40775.18,-43.00
1763.05,42145.10,-80.00
1751.04,43156.97,-15.00
1530.66,47177.78,-34.00
1454.38,49309.39,-23.00
1396.46,51195.26,-18.00
1331.47,52772.00,-19.00
1210.69,55069.29,-10.00
1171.13,56144.54,-5.00
1086.37,58220.55,3.00
967.70,59925.17,2.00
2004.62,35476.74,-30.00
2716.62,27479.60,-40.00
2531.56,31705.01,-42.00
2352.85,38098.72,-33.00
2185.45,41693.65,-59.00
2173.44,42445.33,-30.00
2120.46,44067.66,-23.00
2004.62,45707.79,-23.00
1910.68,49379.44,-18.00
1635.20,54432.14,-5.00
1590.70,56653.82,9.00
1457.91,58996.69,22.00
1409.88,60090.85,72.00
2108.46,44898.29,-31.00
3165.16,27263.88,-43.00
3038.72,31222.42,-39.00
2838.12,33399.62,-36.00
2670.01,38007.54,-33.00
2625.51,43040.22,-15.00
2411.48,46738.56,-22.00
2307.65,50233.42,-13.00
1749.63,54590.04,-1.00
1497.46,56281.31,4.00
3175.05,24337.23,-33.00
3785.33,23952.50,-39.00
3653.25,26860.25,-39.00
3275.35,30054.88,-46.00
3288.77,34549.38,-37.00
3252.74,36741.03,-37.00
3182.11,39647.66,-37.00
3053.55,43060.24,-23.00
2906.63,46263.76,-21.00
2770.31,49561.80,-27.00
2554.87,54533.33,-10.00
2258.20,57100.82,4.00
2179.09,59493.73,17.00
2184.74,60415.54,62.00
3746.48,25680.47,-37.00
2751.94,53082.23,-19.00
3987.35,26045.19,-37.00
3730.24,30869.94,-46.00
3690.68,35403.35,-37.00
3677.26,37638.37,-38.00
3231.55,41822.64,-43.00
3107.94,44172.18,-43.00
3253.45,48994.71,-33.00
3026.01,52665.25,-25.00
2807.04,55436.23,-5.00
2674.95,59554.89,-3.00
2660.82,60685.74,-8.00
3070.51,44570.26,-40.00
4324.28,25482.54,-36.00
4196.43,30658.67,-43.00
4018.43,35957.10,-35.00
3781.80,39360.78,-34.00
3697.04,43646.23,-31.00
3474.54,46968.74,-24.00
3478.07,50151.14,-18.00
3159.51,57044.11,2.00
3994.41,33807.71,-32.00
4797.53,25210.11,-37.00
4697.94,28939.59,-41.00
4505.10,31214.64,-41.00
4347.59,36456.37,-41.00
4274.13,39892.29,-42.00
4096.83,43374.92,-35.00
4008.54,46522.85,-28.00
3985.23,47827.16,-27.00
3812.88,51112.97,-19.00
3694.92,54244.22,-10.00
3490.79,59002.25,13.00
3412.38,60825.85,12.00
3319.85,62636.10,30.00
5211.46,24660.81,-38.00
5048.99,28559.30,-39.00
4878.76,32138.67,-43.00
4776.34,36943.40,-35.00
4605.41,40433.81,-44.00
4455.66,43393.82,-34.00
4358.89,46520.62,-30.00
4209.14,49566.25,-22.00
4154.05,52937.68,-13.00
3850.32,59038.95,13.00
3771.91,61724.30,21.00
4457.78,45110.67,-30.00
5657.16,23676.74,-42.00
5533.55,27290.57,-43.00
5359.08,30988.91,-44.00
5202.27,35150.94,-41.00
5150.00,36793.29,-17.00
5143.65,37775.14,-38.00
4894.30,41131.00,-46.00
4755.86,44908.30,-35.00
4743.85,46747.46,-31.00
4791.88,48579.95,-27.00
4445.06,52670.81,-13.00
4405.51,55906.59,-1.00
4292.49,58790.98,13.00
4252.94,60408.87,12.00
6011.75,25103.37,-44.00
5914.98,27788.72,-49.00
5794.90,30004.84,-49.00
5711.55,32172.03,-47.00
5582.29,36794.40,-32.00
5506.71,38378.93,-47.00
5429.01,40418.24,-47.00
5325.18,43268.17,-38.00
5157.07,47853.85,-27.00
5024.98,50463.59,-21.00
4832.14,54821.32,-5.00
4673.92,59745.03,12.00
6471.58,23653.38,-41.00
6399.54,25700.48,-40.00
6279.46,28194.59,-46.00
6162.20,30644.21,-50.00
6029.41,35321.07,-44.00
6044.24,36903.37,-27.00
5970.78,38621.33,-51.00
5830.92,41370.07,-38.00
5675.53,43974.26,-33.00
5426.89,49628.52,-19.00
5199.45,55793.17,-2.00
5090.67,58650.88,12.00
6780.26,24069.25,-48.00
6726.58,26488.86,-43.00
6583.89,30593.06,-45.00
6514.67,33352.92,-44.00
6280.87,37278.10,-47.00
6037.18,42903.45,-38.00
5881.08,46942.05,-32.00
5799.85,50893.92,-25.00
5607.01,55355.06,-6.00
5553.33,57592.30,-7.00
5602.07,54689.00,-6.00
7120.01,28163.45,-44.00
6971.68,30702.03,-45.00
6908.11,32425.55,-44.00
6748.47,35318.84,-42.00
6706.80,37233.62,-53.00
6601.55,40599.49,-42.00
6558.47,42671.05,-39.00
6346.56,45845.67,-27.00
6234.96,48921.32,-27.00
6198.93,50196.73,-22.00
6046.36,54787.96,-9.00
5968.66,57699.05,3.00
6809.22,34459.31,-43.00
7494.38,26642.30,-42.00
7152.51,36566.45,3.00
7148.27,36987.88,-37.00
6963.91,40658.42,-43.00
6861.49,43950.91,-36.00
6554.93,48440.96,-26.00
6569.77,53100.03,-8.00
6351.51,58605.29,13.00
6496.31,54438.81,-4.00
