x_m,y_m,gravity_disturbance_mGal
699.614,81912.855,25.082
1135.108,68148.035,24.538
1706.695,67087.235,26.527
3723.882,102668.500,17.955
6917.508,72275.590,12.700
8091.932,97480.144,14.165
11452.902,104893.510,10.693
11621.253,80802.017,14.806
12124.289,89510.804,20.198
17332.078,105264.901,14.951
18006.490,85620.094,7.101
18171.817,63937.083,9.692
23213.271,102855.307,11.644
23885.666,92848.876,15.863
28590.419,51335.362,27.402
29430.157,100074.322,-3.502
33966.559,105264.901,4.965
34133.902,70423.083,14.244
35311.350,96369.307,-1.066
36151.088,42808.935,30.830
42199.624,94516.800,9.975
43879.100,6858.503,40.809
44215.802,34657.235,40.836
44886.181,11675.467,44.698
46735.017,75056.575,29.279
47072.727,22794.960,37.113
50431.680,87473.713,27.889
51943.814,5745.442,44.135
52785.569,40400.453,37.414
55472.127,80802.017,33.948
60345.230,45404.224,45.334
60513.581,23721.214,40.206
60680.924,54855.793,38.875
60848.266,69126.550,36.526
61353.319,72091.007,36.890
62025.715,370.279,31.654
63032.796,60415.539,37.137
64040.885,87288.017,38.192
68410.952,49667.438,42.368
70762.824,926.254,35.468
72946.345,23165.239,28.930
73282.039,92477.485,34.131
77651.098,4077.518,33.470
79665.260,88769.134,12.268
80170.313,53187.869,28.896
83531.282,22794.960,27.609
84538.364,4077.518,33.710
86555.550,67458.626,11.187
90419.556,20571.061,34.269
92266.376,6301.416,33.373
92771.428,74314.905,23.237
96468.092,3335.848,39.482
96972.136,8526.427,40.329
97980.226,104336.424,30.041
98819.964,29466.656,41.301
99324.008,17422.021,44.742
99996.404,80244.931,21.301
100332.098,21497.315,39.511
101341.195,38175.442,24.235
104197.112,43736.300,25.656
105709.246,97110.977,28.459
106717.335,51891.336,28.175
108900.856,85248.702,12.597
110078.304,59120.119,37.353
110412.990,107672.271,28.787
111252.728,69126.550,38.066
112261.826,21868.706,39.111
114109.653,76355.332,31.780
114109.653,100074.322,24.679
114613.698,84137.865,23.112
115957.481,95997.916,24.148
116628.868,51705.641,36.219
119318.450,23165.239,49.006
120158.189,48369.793,46.501
120662.233,2223.899,46.792
120997.927,87842.880,17.067
126710.769,78392.423,23.152
127887.209,54671.210,41.243
128895.298,4262.102,36.438
128895.298,66902.652,37.614
128895.298,98963.485,18.423
132086.909,7227.670,38.982
132086.909,24462.884,45.393
132759.304,74869.768,29.944
132928.663,45220.753,50.313
134606.124,102299.333,16.307
136623.310,37620.580,51.797
137967.093,104893.510,16.226
140824.018,72832.677,33.352
142505.511,26872.478,32.687
146369.517,24462.884,22.853
147376.598,110268.673,38.319
149056.075,74500.601,32.378
151577.306,11489.772,33.234
152752.738,20757.869,23.315
157793.184,74687.408,27.179
159642.020,35396.681,15.731
160482.766,30577.493,13.108
160985.803,14083.949,26.945
161322.505,42254.072,15.703
161657.190,24276.076,19.073
163506.026,49111.463,14.106
164681.458,102855.307,48.089
166195.608,4446.685,24.010
166361.943,56895.108,11.121
166865.988,72832.677,29.387
166865.988,14083.949,23.692
167202.689,14455.340,22.324
167202.689,12416.026,22.877
167370.032,7413.366,20.971
167538.383,14455.340,22.224
168042.428,926.254,23.313
171571.748,98406.398,42.110
171906.434,62825.134,8.185
173755.269,73202.956,26.159
174258.306,17605.493,26.523
176107.142,91365.535,33.097
177450.925,87842.880,27.242
177619.275,68385.992,14.044
179803.805,73202.956,19.706
183163.766,75611.438,22.485
183836.162,19829.391,17.102
187364.474,80986.601,28.586
190723.427,69681.413,19.011
190892.786,75242.271,26.518
190892.786,88029.688,27.715
193075.300,23165.239,28.512
193747.695,63566.804,20.821
194252.748,94516.800,27.432
197445.366,102486.140,36.211
197445.366,78762.702,24.738
199460.537,26687.894,38.658
199460.537,57821.362,25.584
203324.543,109897.282,38.381
205845.774,55967.742,31.420
209038.393,19089.945,40.448
209542.437,32245.417,38.151
210046.482,79873.540,12.391
211726.967,41882.681,35.761
213573.786,47812.707,34.773
214078.839,72648.093,26.123
214246.182,51150.778,33.925
215254.271,54671.210,33.067
215590.973,79873.540,15.240
216600.070,83396.195,8.206
216934.756,37064.605,41.259
217607.151,81912.855,12.901
217774.494,58933.311,34.099
219959.023,78762.702,24.099
220967.113,27798.732,60.852
222647.597,65234.728,31.458
224662.768,74687.408,27.968
225924.896,17290.811,77.770
226679.954,47257.844,38.373
226764.634,27150.465,62.582
228325.156,11620.982,52.389
228561.049,5817.719,61.390
229367.520,84322.449,13.071
229587.284,20811.242,80.863
229871.565,69126.550,25.979
232390.780,41513.514,39.643
232390.780,67272.931,32.256
232728.490,26872.478,65.626
233232.534,26501.087,65.768
233399.877,64678.753,35.709
234206.349,12824.111,53.069
234543.050,370.279,30.589
235248.713,60415.539,48.294
235248.713,5967.832,39.562
235920.100,72091.007,23.394
236508.825,20238.589,59.569
237970.554,25445.847,77.859
238441.332,1297.645,33.922
238944.368,11120.605,26.553
238944.368,68940.855,35.605
239533.092,296.890,33.820
239785.115,75426.855,16.155
240758.929,12545.012,42.494
240793.204,79318.677,5.259
241127.889,31969.653,57.555
241465.599,6282.513,32.086
241465.599,5190.579,33.595
241632.942,89141.637,13.702
241632.942,43550.605,41.373
242305.338,6301.416,31.653
242809.382,20310.865,70.377
243479.762,70238.499,32.585
243479.762,85620.094,9.218
243564.441,25055.553,85.392
244657.210,67644.322,40.204
244657.210,9081.290,31.133
244690.477,313.570,40.256
245161.254,92104.982,12.847
245329.605,107303.104,31.525
245666.307,96553.891,19.519
245666.307,98221.815,23.267
245833.650,93589.434,12.051
245916.313,13564.669,34.236
246673.388,75242.271,23.568
246757.060,6264.722,38.922
246841.739,63010.829,48.304
246841.739,31190.177,71.563
247009.082,87288.017,8.235
247178.441,65050.144,52.629
247345.784,62083.463,45.357
247345.784,11120.605,26.333
248016.163,88029.688,10.025
248437.544,19089.945,65.932
249226.878,24555.176,53.536
249663.381,610.460,46.160
249697.656,87102.322,5.222
250033.350,71164.753,22.541
250537.394,78023.256,10.576
250571.669,18477.261,49.323
251377.133,76724.499,14.011
251377.133,80986.601,11.158
251377.133,84879.535,15.240
251545.484,27614.148,61.921
251830.773,6318.096,37.793
252049.528,41698.097,49.152
252554.581,13343.391,26.887
253561.662,75798.246,14.329
253578.800,30799.883,57.016
253898.364,63751.387,38.940
254234.058,93403.738,6.466
254704.835,25408.041,48.425
254738.102,741.670,41.046
255073.796,57635.666,31.088
255915.550,70052.804,28.931
256250.236,67828.905,30.300
256418.587,72275.590,26.538
