56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
1 4 2 3 434.061322 4668.922875779797 10.756366990422144
1 7 3 5 189.157397 4141.458596371652 21.894246072606148
1 10 4 7 108.616228 3208.1364223797714 29.536437431612622
1 13 5 9 67.4879981 2714.5113932959352 40.22213533840079
1 16 6 11 54.4777774 2882.3836101444526 52.909346667737815
1 19 7 13 34.8661281 2224.334890452447 63.79644117846418
1 22 8 15 24.7948336 1871.7113787166809 75.48795885916657
1 25 9 17 20.4168594 1773.7506801772483 86.87676421855794
1 28 10 19 16.0963544 1544.0486163419962 95.9253616049853
1 31 11 21 12.2745814 1283.1160554093851 104.53440435935234
1 34 12 23 10.9741666 1215.1175248410507 110.72526681352282
1 37 13 25 9.88185492 1165.263050679212 117.91946553686219
1 40 14 27 9.15067826 1157.600860657308 126.5043779014156
1 43 15 29 8.09875892 1120.928713341896 138.40746766442777
1 46 16 31 7.24957476 1055.7778361723458 145.63307105923906
2 5 3 4 420.959041 4750.178843363274 11.284182974379386
2 8 4 6 160.62388 3210.84918646697 19.989861946224742
2 11 5 8 97.2712787 2856.975736567704 29.371215992534335
2 14 6 10 73.771863 3101.537479136896 42.04228215216547
2 17 7 12 48.9316455 2618.30794275315 53.509501182688616
2 20 8 14 31.2403657 2010.7402113057938 64.36352988357604
2 23 9 16 24.9794424 1886.1458907458461 75.50792609949717
2 26 10 18 18.8794026 1627.9164911971422 86.22711881768666
2 29 11 20 14.0634452 1333.0227076361011 94.78635488522407
