id,x,y,z
1,0.0,3213.46,0.0
2,3.0,3211.65,0.0
3,6.0,3209.94,0.0
4,9.0,3208.51,0.0
5,12.0,3206.97,0.0
6,15.0,3205.47,0.0
7,18.0,3204.07,0.0
8,21.0,3202.63,0.0
9,24.0,3201.23,0.0
10,27.0,3199.57,0.0
11,30.0,3198.16,0.0
12,33.0,3196.75,0.0
13,36.0,3195.34,0.0
14,39.0,3193.92,0.0
15,42.0,3192.51,0.0
16,45.0,3191.1,0.0
17,48.0,3189.71,0.0
18,51.0,3188.43,0.0
19,54.0,3187.14,0.0
20,57.0,3185.86,0.0
21,60.0,3184.58,0.0
22,63.0,3183.3,0.0
23,66.0,3182.01,0.0
24,69.0,3180.73,0.0
25,72.0,3179.45,0.0
26,75.0,3178.18,0.0
27,78.0,3176.94,0.0
28,81.0,3175.68,0.0
29,84.0,3174.42,0.0
30,87.0,3173.17,0.0
31,90.0,3171.91,0.0
32,93.0,3170.65,0.0
33,96.0,3169.39,0.0
34,99.0,3168.14,0.0
35,102.0,3166.88,0.0
36,105.0,3165.62,0.0
37,108.0,3164.28,0.0
38,111.0,3162.83,0.0
39,114.0,3161.28,0.0
40,117.0,3159.7,0.0
41,120.0,3158.23,0.0
42,123.0,3156.73,0.0
43,126.0,3155.36,0.0
44,129.0,3154.09,0.0
45,132.0,3153.02,0.0
46,135.0,3151.93,0.0
47,138.0,3151.02,0.0
48,141.0,3150.14,0.0
49,144.0,3149.41,0.0
50,145.5,3148.98,0.0
51,147.0,3148.54,0.0
52,148.5,3148.11,0.0
53,150.0,3147.67,0.0
54,151.5,3147.18,0.0
55,153.0,3146.61,0.0
56,154.5,3146.18,0.0
57,156.0,3145.83,0.0
58,157.5,3145.52,0.0
59,159.0,3145.26,0.0
60,160.5,3144.98,0.0
61,162.0,3144.75,0.0
62,163.5,3144.48,0.0
63,165.0,3144.23,0.0
64,166.5,3143.94,0.0
65,168.0,3143.69,0.0
66,169.5,3143.43,0.0
67,171.0,3143.15,0.0
68,172.5,3142.94,0.0
69,174.0,3142.78,0.0
70,175.5,3142.45,0.0
71,177.0,3142.2,0.0
72,178.5,3141.97,0.0
73,180.0,3141.71,0.0
74,181.5,3141.55,0.0
75,183.0,3141.35,0.0
76,184.5,3141.26,0.0
77,186.0,3141.07,0.0
78,187.5,3140.9,0.0
79,189.0,3140.78,0.0
80,190.5,3140.68,0.0
81,192.0,3140.62,0.0
82,193.5,3140.61,0.0
83,195.0,3140.62,0.0
84,196.5,3140.51,0.0
85,198.0,3140.46,0.0
86,199.5,3140.4,0.0
87,201.0,3140.28,0.0
88,202.5,3140.12,0.0
89,204.0,3139.91,0.0
90,205.5,3139.84,0.0
91,207.0,3139.71,0.0
92,208.5,3139.57,0.0
93,210.0,3139.5,0.0
94,211.5,3139.38,0.0
95,213.0,3139.26,0.0
96,214.5,3139.06,0.0
97,216.0,3138.87,0.0
98,217.5,3138.69,0.0
99,219.0,3138.41,0.0
100,220.5,3138.08,0.0
101,222.0,3137.98,0.0
102,223.5,3137.8,0.0
103,225.0,3137.57,0.0
104,226.5,3137.32,0.0
105,228.0,3137.1,0.0
106,229.5,3136.86,0.0
107,231.0,3136.42,0.0
108,232.5,3136.18,0.0
109,234.0,3135.79,0.0
110,235.5,3135.14,0.0
111,237.0,3134.49,0.0
112,238.5,3133.84,0.0
