56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
2 5 3 4 434.061322 4668.922875779799 10.756366990422148 0.05
2 8 4 6 189.157397 4141.458596371628 21.89424607260602 0.05
2 11 5 8 108.616228 3208.136422379754 29.536437431612466 0.05
2 14 6 10 67.4879981 2714.511393295913 40.222135338400456 0.05
2 17 7 12 54.4777774 2882.3836101444163 52.909346667737154 0.05
2 20 8 14 34.8661281 2224.3348904524046 63.79644117846296 0.05
2 23 9 16 24.7948336 1871.7113787166404 75.48795885916493 0.05
2 26 10 18 20.4168594 1773.7506801772117 86.87676421855615 0.05
2 29 11 20 16.0963544 1544.0486163419637 95.92536160498328 0.05
2 32 12 22 12.2745814 1283.116055409361 104.53440435935038 0.05
2 35 13 24 10.9741666 1215.1175248410248 110.72526681352046 0.05
2 38 14 26 9.88185492 1165.2630506791907 117.91946553686002 0.05
2 41 15 28 9.15067826 1157.6008606572848 126.50437790141306 0.05
2 44 16 30 8.09875892 1120.9287133418686 138.4074676644244 0.05
2 47 17 32 7.24957476 1055.7778361723192 145.6330710592354 0.05
3 6 4 5 420.959041 4750.178843363273 11.284182974379382 0.05
3 9 5 7 160.62388 3210.8491864669572 19.989861946224664 0.05
3 12 6 9 97.2712787 2856.9757365676883 29.371215992534168 0.05
3 15 7 11 73.771863 3101.5374791368663 42.042282152165065 0.05
3 18 8 13 48.9316455 2618.307942753117 53.509501182687934 0.05
3 21 9 15 31.2403657 2010.7402113057574 64.36352988357487 0.05
3 24 10 17 24.9794424 1886.1458907458032 75.50792609949545 0.05
3 27 11 19 18.8794026 1627.9164911971102 86.22711881768495 0.05
3 30 12 21 14.0634452 1333.0227076360736 94.78635488522212 0.05
3 33 13 23 12.5965113 1298.6129020083895 103.09306053719727 0.05
3 36 14 25 11.5254056 1266.7011840420278 109.90512854853698 0.05
3 39 15 27 10.1230512 1190.285404639274 117.58168373575685 0.05
3 42 16 29 8.87256691 1131.966920779537 127.58054487069933 0.05
3 45 17 31 7.83657368 1083.4040412217084 138.2497103277039 0.05
3 48 18 33 6.98030793 1022.917381023515 146.54330314386502 0.05
4 7 5 6 396.373334 4038.3015273532774 10.188126145118726 0.05
4 10 6 8 165.077091 3363.4828900330444 20.375225112447882 0.05
4 13 7 10 94.7022421 2916.4038144406104 30.795509691957022 0.05
4 16 8 12 72.2381716 3149.0331949353267 43.592371251756965 0.05
4 19 9 14 41.623572 2252.488169179719 54.11568639951706 0.05
4 22 10 16 30.8640817 2005.3918324430413 64.97493921690342 0.05
4 25 11 18 22.6510048 1726.0389425679593 76.20142937623497 0.05
4 28 12 20 16.3491988 1402.8449137757755 85.80511687066742 0.05
4 31 13 22 14.4061536 1362.9763711341445 94.61070657570558 0.05
4 34 14 24 12.8384781 1317.110140768718 102.59083128931911 0.05
4 37 15 26 11.47582 1256.6207823874583 109.50161142188169 0.05
4 40 16 28 9.89247051 1159.457675950277 117.20607858049372 0.05
4 43 17 30 8.57508165 1111.209596179873 129.5858910194602 0.05
4 46 18 32 7.61458457 1044.477963277184 137.1680823392817 0.05
4 49 19 34 6.66377059 998.3560298602787 149.81848735286047 0.05
5 8 6 7 333.968287 3641.942793100341 10.905055763873596 0.05
5 11 7 9 170.999333 3563.8384252374776 20.841241674536107 0.05
5 14 8 11 92.1768445 3047.9709878070767 33.066558139849064 0.05
5 17 9 13 59.1003545 2663.4260975109237 45.06616110925229 0.05
5 20 10 15 38.3202792 2087.4327054437094 54.47331671434454 0.05
5 23 11 17 27.5815236 1797.9025489809355 65.18503383115991 0.05
5 26 12 19 19.1095315 1456.5584060201604 76.22156545387628 0.05
5 29 13 21 16.2513422 1389.2222829887078 85.48354135258488 0.05
5 32 14 23 14.6279924 1386.8340933948527 94.80686450143718 0.05
5 35 15 25 13.1912646 1346.4088238737784 102.06821443592136 0.05
5 38 16 27 10.9928925 1196.5305904242973 108.84583747401308 0.05
5 41 17 29 9.34728497 1103.0942608699702 118.01226392587131 0.05
5 44 18 31 8.19782455 1065.4839735893565 129.97155124396465 0.05
5 47 19 33 7.16949149 989.3190437442288 137.99012735061197 0.05
5 50 20 35 6.40100337 977.0929548144351 152.64684274247384 0.05
6 9 7 8 339.990037 3624.4414731056654 10.660434361803565 0.05
6 12 8 10 129.618545 2712.1626270145084 20.924186635596843 0.05
6 15 9 12 91.3387116 3067.163150571387 33.58010088869468 0.05
6 18 10 14 53.3675748 2307.205536346081 43.23234745053622 0.05
6 21 11 16 33.9466714 1817.6266074486803 53.543588590210945 0.05
6 24 12 18 22.9583019 1489.7929072120828 64.89124995834656 0.05
6 27 13 20 18.7832753 1404.2774454550436 74.76211805589857 0.05
6 30 14 22 16.4028507 1390.233806949978 84.75562159143338 0.05
6 33 15 24 14.4745877 1354.9959867062057 93.61206099889156 0.05
6 36 16 26 12.4429762 1246.6440378078905 100.18857367965475 0.05
6 39 17 28 10.2747206 1105.963427916447 107.6392702996174 0.05
6 42 18 30 8.801843 1039.908335721373 118.14665811709811 0.05
