id,x,y,z
1,21.375,2965.981,0.0
2,22.875,2964.563,0.0
3,24.375,2963.821,0.0
4,25.875,2963.132,0.0
5,27.375,2962.38,0.0
6,28.875,2961.36,0.0
7,30.375,2960.586,0.0
8,31.875,2959.859,0.0
9,33.375,2959.2,0.0
10,34.875,2958.635,0.0
11,36.375,2958.012,0.0
12,37.875,2957.277,0.0
13,39.375,2956.528,0.0
14,40.875,2955.697,0.0
15,42.375,2954.975,0.0
16,43.875,2954.283,0.0
17,45.375,2953.512,0.0
18,46.875,2952.847,0.0
19,48.375,2951.95,0.0
20,49.875,2951.131,0.0
21,51.375,2950.357,0.0
22,52.875,2949.624,0.0
23,54.375,2948.811,0.0
24,55.875,2948.158,0.0
25,57.375,2947.454,0.0
26,58.875,2946.845,0.0
27,60.375,2946.19,0.0
28,61.875,2945.65,0.0
29,63.375,2945.17,0.0
30,64.875,2944.684,0.0
31,66.375,2944.204,0.0
32,67.875,2943.74,0.0
33,69.375,2943.484,0.0
34,70.875,2943.148,0.0
35,72.375,2942.711,0.0
36,73.875,2942.282,0.0
37,75.375,2941.835,0.0
38,76.875,2941.254,0.0
39,78.375,2940.771,0.0
40,79.875,2940.297,0.0
41,81.375,2939.781,0.0
42,82.875,2939.288,0.0
43,84.375,2939.127,0.0
44,85.875,2939.202,0.0
45,87.375,2939.147,0.0
46,88.875,2939.03,0.0
47,90.375,2938.745,0.0
48,91.875,2938.389,0.0
49,93.375,2938.393,0.0
50,94.875,2938.589,0.0
51,96.375,2938.645,0.0
52,97.875,2938.588,0.0
53,99.375,2938.778,0.0
54,100.875,2938.937,0.0
55,102.375,2939.046,0.0
56,103.875,2939.099,0.0
