56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
903
# a b m n r rhoa k err
2 11 5 8 108.616228 3208.1364223797555 29.536437431612477 0.05
2 14 6 10 67.4879981 2714.511393295905 40.222135338400335 0.05
2 17 7 12 54.4777774 2882.383610144425 52.90934666773731 0.05
2 20 8 14 34.8661281 2224.3348904524296 63.79644117846368 0.05
2 23 9 16 24.7948336 1871.7113787166668 75.487958859166 0.05
2 26 10 18 20.4168594 1773.7506801772315 86.87676421855711 0.05
2 29 11 20 16.0963544 1544.0486163419685 95.92536160498358 0.05
2 32 12 22 12.2745814 1283.1160554093558 104.53440435934994 0.05
2 35 13 24 10.9741666 1215.117524841016 110.72526681351965 0.05
2 38 14 26 9.88185492 1165.2630506791772 117.91946553685867 0.05
2 41 15 28 9.15067826 1157.6008606572702 126.50437790141146 0.05
2 44 16 30 8.09875892 1120.9287133418636 138.4074676644238 0.05
2 47 17 32 7.24957476 1055.7778361723188 145.6330710592353 0.05
3 9 5 7 160.62388 3210.849186466962 19.989861946224693 0.05
3 12 6 9 97.2712787 2856.9757365676796 29.371215992534083 0.05
3 15 7 11 73.771863 3101.5374791368627 42.042282152165015 0.05
3 18 8 13 48.9316455 2618.3079427531366 53.50950118268834 0.05
3 21 9 15 31.2403657 2010.7402113057829 64.36352988357568 0.05
3 24 10 17 24.9794424 1886.1458907458284 75.50792609949646 0.05
3 27 11 19 18.8794026 1627.9164911971188 86.22711881768541 0.05
3 30 12 21 14.0634452 1333.022707636073 94.78635488522207 0.05
3 33 13 23 12.5965113 1298.6129020083793 103.09306053719646 0.05
3 36 14 25 11.5254056 1266.7011840420153 109.90512854853588 0.05
3 39 15 27 10.1230512 1190.2854046392583 117.5816837357553 0.05
3 42 16 29 8.87256691 1131.9669207795253 127.58054487069799 0.05
3 45 17 31 7.83657368 1083.4040412217098 138.24971032770407 0.05
3 48 18 33 6.98030793 1022.917381023515 146.54330314386502 0.05
4 13 7 10 94.7022421 2916.4038144405918 30.795509691956823 0.05
4 16 8 12 72.2381716 3149.0331949353267 43.592371251756965 0.05
4 19 9 14 41.623572 2252.4881691797336 54.11568639951741 0.05
4 22 10 16 30.8640817 2005.3918324430554 64.97493921690388 0.05
4 25 11 18 22.6510048 1726.0389425679741 76.20142937623562 0.05
4 28 12 20 16.3491988 1402.8449137757752 85.8051168706674 0.05
4 31 13 22 14.4061536 1362.976371134136 94.61070657570498 0.05
4 34 14 24 12.8384781 1317.1101407687045 102.59083128931805 0.05
4 37 15 26 11.47582 1256.620782387443 109.50161142188034 0.05
4 40 16 28 9.89247051 1159.4576759502593 117.20607858049193 0.05
4 43 17 30 8.57508165 1111.2095961798668 129.5858910194595 0.05
4 46 18 32 7.61458457 1044.4779632771854 137.16808233928188 0.05
4 49 19 34 6.66377059 998.3560298602736 149.8184873528597 0.05
5 14 8 11 92.1768445 3047.9709878070635 33.06655813984892 0.05
5 17 9 13 59.1003545 2663.4260975109296 45.06616110925239 0.05
5 20 10 15 38.3202792 2087.4327054437213 54.47331671434485 0.05
5 23 11 17 27.5815236 1797.9025489809485 65.18503383116038 0.05
5 26 12 19 19.1095315 1456.5584060201631 76.22156545387642 0.05
5 29 13 21 16.2513422 1389.2222829887016 85.48354135258451 0.05
5 32 14 23 14.6279924 1386.8340933948405 94.80686450143634 0.05
5 35 15 25 13.1912646 1346.408823873763 102.06821443592018 0.05
5 38 16 27 10.9928925 1196.530590424281 108.84583747401159 0.05
5 41 17 29 9.34728497 1103.0942608699581 118.01226392587002 0.05
5 44 18 31 8.19782455 1065.4839735893547 129.97155124396443 0.05
5 47 19 33 7.16949149 989.3190437442247 137.9901273506114 0.05
5 50 20 35 6.40100337 977.0929548144288 152.64684274247287 0.05
6 12 8 10 129.618545 2712.1626270144916 20.924186635596715 0.05
6 15 9 12 91.3387116 3067.1631505713817 33.58010088869462 0.05
6 18 10 14 53.3675748 2307.20553634609 43.23234745053639 0.05
6 21 11 16 33.9466714 1817.6266074486919 53.543588590211286 0.05
6 24 12 18 22.9583019 1489.7929072120937 64.89124995834705 0.05
6 27 13 20 18.7832753 1404.2774454550436 74.76211805589857 0.05
6 30 14 22 16.4028507 1390.2338069499708 84.75562159143294 0.05
6 33 15 24 14.4745877 1354.9959867061937 93.61206099889074 0.05
6 36 16 26 12.4429762 1246.6440378078778 100.18857367965373 0.05
6 39 17 28 10.2747206 1105.9634279164359 107.63927029961631 0.05
6 42 18 30 8.801843 1039.9083357213685 118.14665811709757 0.05
6 45 19 32 7.64345597 983.9490849488552 128.73091554537407 0.05
6 48 20 34 6.84183896 959.27153509634 140.20668137683558 0.05
6 51 21 36 6.26614005 961.0572964834192 153.3730955284696 0.05
7 13 9 11 120.558615 2596.028891142666 21.533333732663284 0.05
7 16 10 13 79.9538517 2626.3141316154074 32.84787506510343 0.05
7 19 11 15 42.0470353 1747.3909361985175 41.55800578402534 0.05
7 22 12 17 27.5793858 1444.6961557183263 52.383188160714084 0.05
7 25 13 19 22.039913 1407.6088029000541 63.86635023922527 0.05
7 28 14 21 18.2802645 1353.88717630291 74.06277826575813 0.05
7 31 15 23 16.5851888 1381.7456100227155 83.31202174935237 0.05
7 34 16 25 13.8189194 1260.9846364058003 91.25059636760022 0.05
7 37 17 27 11.483726 1126.891718963657 98.12945022927723 0.05
7 40 18 29 9.50126385 1009.4348338709397 106.24216418018321 0.05
7 43 19 31 8.11141605 965.2816663062681 119.00285478591226 0.05
7 46 20 33 7.26403795 933.7406661426404 128.54292234839446 0.05
7 49 21 35 6.59030368 939.5445589795912 142.56468360189302 0.05
7 52 22 37 6.26490536 966.6959218348551 154.30335596240437 0.05
8 11 9 10 255.933677 2638.1042620125368 10.307765249715601 0.05
8 14 10 12 147.050961 3169.5685120834373 21.554218282758704 0.05
8 17 11 14 66.2938411 2071.056679910676 31.240559387509624 0.05
8 20 12 16 34.6261578 1426.5767034501903 41.19939358244911 0.05
8 23 13 18 28.0333039 1476.773650815425 52.67925807401621 0.05
8 26 14 20 22.3414795 1412.0957779914345 63.20511486230957 0.05
8 29 15 22 18.9179213 1392.5053739413413 73.60773691036242 0.05
8 32 16 24 15.6468317 1287.3546798454897 82.27574147458171 0.05
8 35 17 26 13.1302053 1178.1787152164968 89.73041078165753 0.05
8 38 18 28 10.6910323 1028.459200315447 96.19830634273242 0.05
8 41 19 30 8.79424753 934.6993314987664 106.28531074548528 0.05
8 44 20 32 7.83673825 933.8871966295969 119.16784341107692 0.05
8 47 21 34 7.06224407 915.1711278607577 129.5864485551202 0.05
8 50 22 36 6.40728563 921.2727670912276 143.78518772093943 0.05
8 53 23 38 6.10974394 949.2466888366481 155.3660346748751 0.05
9 15 11 13 130.543917 2737.205913231378 20.967701721646502 0.05
9 18 12 15 50.132182 1501.4947232693294 29.950715555714876 0.05
9 21 13 17 39.9603907 1632.3982753417151 40.85040828546542 0.05
9 24 14 19 30.4955288 1609.4026424070446 52.775036398353734 0.05
9 27 15 21 23.8028126 1497.8542760110051 62.92761705022226 0.05
9 30 16 23 19.3073639 1391.6391458126698 72.07815385986845 0.05
9 33 17 25 15.2716203 1239.47432907516 81.16193990726445 0.05
9 36 18 27 12.6651792 1108.888789382527 87.5541334134875 0.05
9 39 19 29 9.77817757 937.4216226437219 95.8687460861607 0.05
9 42 20 31 8.47203396 913.2131373316007 107.79148686646681 0.05
9 45 21 33 7.68373841 918.3487455690436 119.5184813129321 0.05
9 48 22 35 6.81944288 896.8216565097509 131.50951951514122 0.05
9 51 23 37 6.35174647 922.5494676698384 145.2434337590679 0.05
9 54 24 39 6.07254561 942.2929399461876 155.17264100815666 0.05
10 16 12 14 82.1191941 1666.3911376953258 20.292346460026035 0.05
10 19 13 16 51.3436579 1552.2521300998155 30.232597239625495 0.05
10 22 14 18 39.6438135 1674.7700075390646 42.24543149813437 0.05
10 25 15 20 29.9059152 1584.0814125498061 52.968832485347455 0.05
10 28 16 22 22.3368285 1406.898388565149 62.98559298895763 0.05
10 31 17 24 17.7876542 1277.4585630609752 71.81714624635413 0.05
10 34 18 26 14.2277314 1132.9464774636353 79.62945360801761 0.05
10 37 19 28 11.2307027 972.3773646052881 86.5820590732304 0.05
10 40 20 30 9.23380864 892.394272285279 96.64422418497067 0.05
10 43 21 32 8.28777441 908.1256446460554 109.57412686695648 0.05
10 46 22 34 7.31082577 882.5187866954377 120.71396781425933 0.05
10 49 23 36 6.49760452 876.7024143280701 134.92701989318212 0.05
10 52 24 38 6.42350746 940.8340961324136 146.46734700490464 0.05
10 55 25 40 5.94526425 923.1704230359726 155.27828271652896 0.05
11 14 12 13 210.275122 2243.3849901971066 10.668808410902297 0.05
11 17 13 15 84.2078264 1712.0940205474535 20.331768360992317 0.05
11 20 14 17 60.8827571 1908.857230760178 31.35300242111043 0.05
11 23 15 19 43.7027086 1893.1502054183875 43.318830023693025 0.05
11 26 16 21 29.2509703 1546.8518586899543 52.88206999033992 0.05
11 29 17 23 22.1571623 1389.225825840344 62.69872500055406 0.05
11 32 18 25 17.4108525 1241.6319310442457 71.31367812370162 0.05
11 35 19 27 13.4947733 1064.9161767087173 78.91323203693368 0.05
11 38 20 29 10.5610221 921.1494626144273 87.22162058674485 0.05
11 41 21 31 9.1146792 893.0047249370102 97.9743450473836 0.05
11 44 22 33 8.07099482 898.2309683831952 111.29123341243766 0.05
11 47 23 35 6.9817795 857.7012265749911 122.84851255686192 0.05
11 50 24 37 6.78679144 933.9306733715721 137.61004469168896 0.05
11 53 25 39 6.14945343 909.0503502372865 147.8262028625992 0.05
11 56 26 41 5.87815853 908.8495414304813 154.6146700181768 0.05
12 15 13 14 297.259981 3081.534277500491 10.366461933873605 0.05
12 18 14 16 103.081959 2148.1242039425815 20.838992824559934 0.05
12 21 15 18 69.7287093 2294.252759422093 32.90255595512784 0.05
12 24 16 20 44.0953227 1894.0633068663496 42.95383707139419 0.05
12 27 17 22 28.6854995 1528.1099466322078 53.271163942332876 0.05
12 30 18 24 21.7104337 1341.155759842737 61.7747106472008 0.05
12 33 19 26 15.9659609 1135.6786246571214 71.13124175677528 0.05
12 36 20 28 13.133796 1031.9916609423856 78.57527716605203 0.05
12 39 21 30 10.3416026 910.5035131468031 88.04278682559347 0.05
12 42 22 32 8.92579072 887.2319460859627 99.40093532530894 0.05
12 45 23 34 7.65161166 868.1039838150572 113.45374313142509 0.05
12 48 24 36 7.02376431 881.7051597651972 125.5317121774545 0.05
12 51 25 38 6.58313649 911.9858999168017 138.53364597591712 0.05
12 54 26 40 6.26902931 928.0606959610116 148.0389786151776 0.05
13 16 14 15 185.633897 1949.2981839608112 10.500766376524496 0.05
13 19 15 17 108.124021 2295.9058837750104 21.234003901640047 0.05
13 22 16 19 60.0358011 1961.8825325376577 32.678543412285 0.05
13 25 17 21 35.7044684 1530.3579471656997 42.86180457921898 0.05
13 28 18 23 25.6979151 1339.9540865230329 52.142521341080815 0.05
13 31 19 25 18.8557761 1157.5751418103937 61.391010143061344 0.05
13 34 20 27 14.3902894 1013.609903892395 70.43707570553758 0.05
13 37 21 29 11.584584 908.3537584120332 78.41056341876698 0.05
13 40 22 31 9.3371193 825.4758790420029 88.4079824322265 0.05
13 43 23 33 8.03928765 823.3624529621293 102.41733954651184 0.05
13 46 24 35 7.21606486 827.4978445609748 114.67439118347598 0.05
13 49 25 37 6.74418542 869.1369411694168 128.87204117964728 0.05
13 52 26 39 6.41492048 892.4199434690248 139.11629088019885 0.05
13 55 27 41 6.04877266 891.546641921836 147.39298235120577 0.05
14 17 15 16 219.088933 2354.0188872931044 10.744581458585607 0.05
14 20 16 18 93.284138 2029.967147247712 21.761118136158498 0.05
14 23 17 20 49.9268973 1607.2977934465166 32.19302380816115 0.05
14 26 18 22 31.168284 1303.6240454926776 41.82533903671686 0.05
14 29 19 24 21.1014271 1087.0411498919673 51.5150536852537 0.05
14 32 20 26 16.463986 1013.4692266912061 61.55673520927473 0.05
14 35 21 28 13.4192321 932.045827528434 69.45597338080425 0.05
14 38 22 30 10.0412505 785.3606140220966 78.21342710473128 0.05
14 41 23 32 8.38114379 745.4735323732435 88.94651506429334 0.05
14 44 24 34 7.59673667 794.3834159684504 104.56903410980684 0.05
14 47 25 36 6.56509746 758.9611544749184 115.60546649903328 0.05
14 50 26 38 6.63725049 860.9654702935061 129.71718810231405 0.05
14 53 27 40 6.19849935 865.8923691312252 139.6938710869148 0.05
14 56 28 42 5.85252225 845.793355582105 144.51775139891268 0.05
15 18 16 17 270.920732 2733.865588356774 10.091016542642349 0.05
15 21 17 19 89.751664 1945.0496979183106 21.671461132111272 0.05
15 24 18 21 47.4924641 1476.5798363116114 31.090823866340752 0.05
15 27 19 23 28.0336903 1153.7115967801108 41.154467515113794 0.05
15 30 20 25 20.2879413 1039.5544401730713 51.2400161653204 0.05
15 33 21 27 15.0817979 920.632902818786 61.04264948536315 0.05
15 36 22 29 11.9438869 822.2800110472913 68.84526100521693 0.05
15 39 23 31 8.8019016 693.8563201064154 78.83027459730013 0.05
15 42 24 33 7.96654771 725.8069225779337 91.10683184221257 0.05
15 45 25 35 6.69939614 708.5230570412833 105.75924191300072 0.05
15 48 26 37 6.77329054 797.8506517139106 117.79365538834698 0.05
15 51 27 39 6.35995499 824.7489596613653 129.67842712065567 0.05
15 54 28 41 5.98420569 830.9729164606725 138.8610217475116 0.05
16 19 17 18 226.196914 2496.5943719940924 11.037260976929563 0.05
16 22 18 20 94.6856794 1960.8838414519869 20.70940245534096 0.05
16 25 19 22 43.3554052 1361.048914142761 31.392831132916296 0.05
16 28 20 24 25.7564739 1073.5304652467332 41.680024580023485 0.05
16 31 21 26 19.7078286 1015.1342782013492 51.50918951067746 0.05
16 34 22 28 14.2180774 854.5165255888229 60.1007085239825 0.05
16 37 23 30 10.4737236 723.9584659595513 69.12140262700376 0.05
16 40 24 32 8.65900582 684.1244250068349 79.00727164620787 0.05
16 43 25 34 7.20951703 683.096832497428 94.74931949740161 0.05
16 46 26 36 6.72429363 716.6704568590172 106.57929238271787 0.05
16 49 27 38 6.74501321 810.8165189665118 120.20977479546134 0.05
16 52 28 40 6.32087089 824.0606701195989 130.37138148531284 0.05
16 55 29 42 6.08749119 827.3002926651752 135.90168212878766 0.05
17 20 18 19 293.921743 3062.358144644249 10.418957486395449 0.05
17 23 19 21 89.3328315 1846.9514399917737 20.674945694425613 0.05
17 26 20 23 47.6517733 1485.2210467993307 31.16822195574683 0.05
17 29 21 25 28.4185156 1181.8673608389474 41.587934340910735 0.05
17 32 22 27 19.3103527 989.9511758045687 51.265307847254846 0.05
17 35 23 29 13.5200304 812.6018414600779 60.10355135444651 0.05
17 38 24 31 10.0587956 696.9330636767404 69.28593555243735 0.05
17 41 25 33 7.93446816 637.9871131669955 80.40704182080876 0.05
17 44 26 35 7.218633 698.2351200888024 96.72677916841076 0.05
17 47 27 37 7.06782136 762.3645494628622 107.8641508651348 0.05
17 50 28 39 6.70325508 811.182769925486 121.0132629960258 0.05
17 53 29 41 6.34380796 823.4222187439199 129.79936087849669 0.05
17 56 30 43 6.10499692 808.8097489664373 132.48323620226122 0.05
18 21 19 20 299.264509 3188.379464269758 10.65405141065277 0.05
18 24 20 22 102.825993 2225.6600396657286 21.644916569546073 0.05
18 27 21 24 45.1834717 1440.6993675760032 31.885539410111402 0.05
18 30 22 26 27.0253004 1128.6795984705689 41.7638132329722 0.05
18 33 23 28 17.3965109 898.9440822233214 51.673814789109315 0.05
18 36 24 30 13.4347997 811.5149319544618 60.40394721734942 0.05
18 39 25 32 8.84650944 616.9591859113094 69.74040892577281 0.05
18 42 26 34 7.87753083 660.5955538661372 83.85819974837688 0.05
18 45 27 36 7.01962045 690.1947603455185 98.32365799001548 0.05
18 48 28 38 7.175969 788.5501332958694 109.88761703065737 0.05
18 51 29 40 6.77341005 818.6721432088715 120.86558131954104 0.05
18 54 30 42 6.40355174 813.8790967943517 127.09807460607036 0.05
19 22 20 21 257.333907 2732.7513405598183 10.619476354353171 0.05
19 25 21 23 111.382526 2371.9323837536044 21.295372523277166 0.05
19 28 22 25 43.1851915 1363.9293289373986 31.583264576640783 0.05
19 31 23 27 25.5659454 1065.1925783069466 41.6645096295538 0.05
19 34 24 29 16.7405877 855.9819275555961 51.132131254603216 0.05
19 37 25 31 11.1747454 671.1123775047529 60.0561671413787 0.05
19 40 26 33 8.48693065 597.7648334503181 70.43357111093138 0.05
19 43 27 35 7.3417107 639.0437750768405 87.04289792797753 0.05
19 46 28 37 7.41999993 735.9104028784284 99.1793005149568 0.05
19 49 29 39 7.24892922 804.1952740325227 110.9398712038359 0.05
19 52 30 41 6.78369353 812.158095715888 119.72210892550271 0.05
19 55 31 43 6.46872636 800.0783513375759 123.68406187111862 0.05
20 23 21 22 296.390172 3235.151130968187 10.915176806092568 0.05
20 26 22 24 90.9470466 1894.6521252653636 20.83247555688481 0.05
