56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
2 5 3 4 434.061322 4668.922875779817 10.75636699042219 0.05
2 8 4 6 189.157397 4141.458596371654 21.894246072606155 0.05
2 11 5 8 108.616228 3208.136422379806 29.536437431612942 0.05
2 14 6 10 67.4879981 2714.5113932959603 40.22213533840116 0.05
2 17 7 12 54.4777774 2882.3836101444626 52.909346667738 0.05
2 20 8 14 34.8661281 2224.3348904524546 63.796441178464406 0.05
2 23 9 16 24.7948336 1871.711378716683 75.48795885916665 0.05
2 26 10 18 20.4168594 1773.7506801772572 86.87676421855838 0.05
2 29 11 20 16.0963544 1544.048616342012 95.92536160498629 0.05
2 32 12 22 12.2745814 1283.1160554093933 104.53440435935299 0.05
2 35 13 24 10.9741666 1215.1175248410552 110.72526681352325 0.05
2 38 14 26 9.88185492 1165.2630506792207 117.91946553686306 0.05
2 41 15 28 9.15067826 1157.6008606573198 126.50437790141687 0.05
2 44 16 30 8.09875892 1120.9287133419077 138.40746766442922 0.05
2 47 17 32 7.24957476 1055.7778361723529 145.63307105924002 0.05
3 6 4 5 420.959041 4750.178843363274 11.284182974379386 0.05
3 9 5 7 160.62388 3210.8491864669872 19.989861946224853 0.05
3 12 6 9 97.2712787 2856.975736567731 29.37121599253461 0.05
3 15 7 11 73.771863 3101.5374791369127 42.0422821521657 0.05
3 18 8 13 48.9316455 2618.307942753157 53.50950118268876 0.05
3 21 9 15 31.2403657 2010.7402113058063 64.36352988357643 0.05
3 24 10 17 24.9794424 1886.145890745848 75.50792609949724 0.05
3 27 11 19 18.8794026 1627.9164911971543 86.2271188176873 0.05
3 30 12 21 14.0634452 1333.0227076361127 94.7863548852249 0.05
3 33 13 23 12.5965113 1298.6129020084215 103.09306053719982 0.05
3 36 14 25 11.5254056 1266.7011840420607 109.90512854853982 0.05
3 39 15 27 10.1230512 1190.2854046393063 117.58168373576005 0.05
3 42 16 29 8.87256691 1131.9669207795725 127.58054487070333 0.05
3 45 17 31 7.83657368 1083.404041221748 138.24971032770893 0.05
3 48 18 33 6.98030793 1022.9173810235507 146.54330314387013 0.05
4 7 5 6 396.373334 4038.301527353288 10.188126145118753 0.05
4 10 6 8 165.077091 3363.482890033069 20.37522511244803 0.05
4 13 7 10 94.7022421 2916.4038144406354 30.795509691957285 0.05
4 16 8 12 72.2381716 3149.03319493536 43.59237125175743 0.05
4 19 9 14 41.623572 2252.4881691797596 54.11568639951803 0.05
4 22 10 16 30.8640817 2005.3918324430772 64.97493921690459 0.05
4 25 11 18 22.6510048 1726.0389425680005 76.20142937623679 0.05
4 28 12 20 16.3491988 1402.8449137758103 85.80511687066955 0.05
4 31 13 22 14.4061536 1362.9763711341745 94.61070657570767 0.05
4 34 14 24 12.8384781 1317.110140768751 102.59083128932167 0.05
4 37 15 26 11.47582 1256.6207823874909 109.50161142188452 0.05
4 40 16 28 9.89247051 1159.457675950308 117.20607858049685 0.05
4 43 17 30 8.57508165 1111.2095961799084 129.58589101946436 0.05
4 46 18 32 7.61458457 1044.4779632772193 137.16808233928634 0.05
4 49 19 34 6.66377059 998.3560298603106 149.81848735286528 0.05
5 8 6 7 333.968287 3641.9427931003343 10.905055763873575 0.05
5 11 7 9 170.999333 3563.838425237498 20.841241674536228 0.05
5 14 8 11 92.1768445 3047.9709878070967 33.066558139849285 0.05
5 17 9 13 59.1003545 2663.426097510947 45.06616110925268 0.05
