n,x,y,z
1,0.0,0.0,0.0
2,5.0,0.0,0.0
3,10.0,0.0,0.0
4,15.0,0.0,0.0
5,20.0,0.0,0.0
6,25.0,0.0,0.0
7,30.0,0.0,0.0
8,35.0,0.0,0.0
9,40.0,0.0,0.0
10,45.0,0.0,0.0
11,0.0,5.0,0.0
12,5.0,5.0,0.0
13,10.0,5.0,0.0
14,15.0,5.0,0.0
15,20.0,5.0,0.0
16,25.0,5.0,0.0
17,30.0,5.0,0.0
18,35.0,5.0,0.0
19,40.0,5.0,0.0
20,45.0,5.0,0.0
21,0.0,10.0,0.0
22,5.0,10.0,0.0
23,10.0,10.0,0.0
24,15.0,10.0,0.0
25,20.0,10.0,0.0
26,25.0,10.0,0.0
27,30.0,10.0,0.0
28,35.0,10.0,0.0
29,40.0,10.0,0.0
30,45.0,10.0,0.0
31,0.0,15.0,0.0
32,5.0,15.0,0.0
33,10.0,15.0,0.0
34,15.0,15.0,0.0
35,20.0,15.0,0.0
36,25.0,15.0,0.0
37,30.0,15.0,0.0
38,35.0,15.0,0.0
39,40.0,15.0,0.0
40,45.0,15.0,0.0
41,0.0,20.0,0.0
42,5.0,20.0,0.0
43,10.0,20.0,0.0
44,15.0,20.0,0.0
45,20.0,20.0,0.0
46,25.0,20.0,0.0
47,30.0,20.0,0.0
48,35.0,20.0,0.0
49,40.0,20.0,0.0
50,45.0,20.0,0.0
51,0.0,25.0,0.0
52,5.0,25.0,0.0
53,10.0,25.0,0.0
54,15.0,25.0,0.0
55,20.0,25.0,0.0
56,25.0,25.0,0.0
57,30.0,25.0,0.0
58,35.0,25.0,0.0
59,40.0,25.0,0.0
60,45.0,25.0,0.0
