# TIME(s) BZ(T) UNCERTAINTY(T)
1.000000e-05 2.984256e-12 1.492128e-13
1.258925e-05 1.752464e-12 8.762318e-14
1.584893e-05 1.102612e-12 5.513060e-14
1.995262e-05 6.968308e-13 3.484154e-14
2.511886e-05 3.897094e-13 1.948547e-14
3.162278e-05 2.389230e-13 1.194615e-14
3.981072e-05 1.612754e-13 8.063772e-15
5.011872e-05 9.689376e-14 4.844688e-15
6.309573e-05 5.747510e-14 2.873755e-15
7.943282e-05 3.853207e-14 1.926603e-15
1.000000e-04 2.359812e-14 1.179906e-15
1.258925e-04 1.534382e-14 7.671909e-16
1.584893e-04 1.043393e-14 5.216967e-16
1.995262e-04 6.169135e-15 3.084568e-16
2.511886e-04 4.155647e-15 2.077823e-16
3.162278e-04 2.966308e-15 1.483154e-16
3.981072e-04 1.955845e-15 9.779224e-17
5.011872e-04 1.419482e-15 7.097408e-17
6.309573e-04 9.087128e-16 4.543564e-17
7.943282e-04 6.046053e-16 3.023027e-17
1.000000e-03 4.782892e-16 2.391446e-17
1.258925e-03 3.022252e-16 1.511126e-17
1.584893e-03 2.104119e-16 1.052060e-17
1.995262e-03 1.334298e-16 6.671489e-18
2.511886e-03 9.542235e-17 4.771117e-18
3.162278e-03 6.694132e-17 3.347066e-18
3.981072e-03 4.216773e-17 2.108387e-18
5.011872e-03 3.017253e-17 1.508626e-18
6.309573e-03 1.858038e-17 9.290189e-19
7.943282e-03 1.178207e-17 5.891036e-19
1.000000e-02 6.831342e-18 3.415671e-19
