56
# x y z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
36.0 0.0 0.0
37.5 0.0 0.0
39.0 0.0 0.0
40.5 0.0 0.0
42.0 0.0 0.0
43.5 0.0 0.0
45.0 0.0 0.0
46.5 0.0 0.0
48.0 0.0 0.0
49.5 0.0 0.0
51.0 0.0 0.0
52.5 0.0 0.0
54.0 0.0 0.0
55.5 0.0 0.0
57.0 0.0 0.0
58.5 0.0 0.0
60.0 0.0 0.0
61.5 0.0 0.0
63.0 0.0 0.0
64.5 0.0 0.0
66.0 0.0 0.0
67.5 0.0 0.0
69.0 0.0 0.0
70.5 0.0 0.0
72.0 0.0 0.0
73.5 0.0 0.0
75.0 0.0 0.0
76.5 0.0 0.0
78.0 0.0 0.0
79.5 0.0 0.0
81.0 0.0 0.0
82.5 0.0 0.0
900
# a b m n r rhoa k err
2 14 6 10 67.4879981 2547.750484013471 37.75116399568342 0.01
2 17 7 12 54.4777774 2569.5307554052984 47.16658568022451 0.01
2 20 8 14 34.8661281 1972.5685533969029 56.57549779371409 0.01
2 23 9 16 24.7948336 1636.1509901760671 65.98757695135599 0.01
2 26 10 18 20.4168594 1539.5258699563683 75.40463691278435 0.01
2 29 11 20 16.0963544 1365.3738082005507 84.82503393442622 0.01
2 32 12 22 12.2745814 1156.8454298849547 94.24724087820663 0.01
2 35 13 24 10.9741666 1137.6944133717088 103.6702334527807 0.023134211607867463
2 38 14 26 9.88185492 1117.5712419368924 113.09326548349006 0.01
2 41 15 28 9.15067826 1121.1060002195716 122.51616419738176 0.01
2 44 16 30 8.09875892 1068.5387824372722 131.9385837993647 0.01
2 47 17 32 7.24957476 1024.8045819547158 141.3606474698546 0.019187286908703055
3 12 6 9 97.2712787 2753.9405323776527 28.311959801322658 0.01
3 15 7 11 73.771863 2785.043930670101 37.75211601569695 0.01
3 18 8 13 48.9316455 2307.950973070874 47.16683752380398 0.01
3 21 9 15 31.2403657 1767.4356113194985 56.57538161659543 0.01
3 24 10 17 24.9794424 1648.334439288377 65.987639471423 0.01
3 27 11 19 18.8794026 1423.5946502910676 75.404644969596 0.01
3 30 12 21 14.0634452 1192.934401443856 84.82518931021653 0.01
3 33 13 23 12.5965113 1187.1863098554936 94.24723096588606 0.01
3 36 14 25 11.5254056 1194.8395945284879 103.67006906277449 0.01
3 39 15 27 10.1230512 1144.848160725233 113.0931907886856 0.01
3 42 16 29 8.87256691 1087.0317758475867 122.51604151019997 0.01
3 45 17 31 7.83657368 1033.9462876168068 131.93856522469483 0.01
3 48 18 33 6.98030793 986.7406998534025 141.36062617131597 0.012583792750139782
4 13 7 10 94.7022421 2681.158275127914 28.311455100469196 0.01
4 16 8 12 72.2381716 2727.106203658905 37.751595081331004 0.01
4 19 9 14 41.623572 1963.2533563559275 47.16686391922172 0.01
4 22 10 16 30.8640817 1746.1522802358395 56.57554620314006 0.01
4 25 11 18 22.6510048 1494.6827103827682 65.98747930081973 0.01
4 28 12 20 16.3491988 1232.8027297004523 75.40447362475355 0.01
4 31 13 22 14.4061536 1221.9990094916284 84.82479386389636 0.01
4 34 14 24 12.8384781 1209.9890269147288 94.24707644395396 0.01
4 37 15 26 11.47582 1189.6984255922116 103.67001448194652 0.01
4 40 16 28 9.89247051 1118.7706715776933 113.09315205405584 0.01
4 43 17 30 8.57508165 1050.5841286332293 122.51593296878163 0.01
4 46 18 32 7.61458457 1004.656723195326 131.9384812079546 0.01
