56
# x y z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
36.0 0.0 0.0
37.5 0.0 0.0
39.0 0.0 0.0
40.5 0.0 0.0
42.0 0.0 0.0
43.5 0.0 0.0
45.0 0.0 0.0
46.5 0.0 0.0
48.0 0.0 0.0
49.5 0.0 0.0
51.0 0.0 0.0
52.5 0.0 0.0
54.0 0.0 0.0
55.5 0.0 0.0
57.0 0.0 0.0
58.5 0.0 0.0
60.0 0.0 0.0
61.5 0.0 0.0
63.0 0.0 0.0
64.5 0.0 0.0
66.0 0.0 0.0
67.5 0.0 0.0
69.0 0.0 0.0
70.5 0.0 0.0
72.0 0.0 0.0
73.5 0.0 0.0
75.0 0.0 0.0
76.5 0.0 0.0
78.0 0.0 0.0
79.5 0.0 0.0
81.0 0.0 0.0
82.5 0.0 0.0
930
# a b m n r rhoa k err
2 5 3 4 434.061322 4089.994764139637 9.422619701046841 0.05
2 8 4 6 189.157397 3566.5763098767734 18.85507184197916 0.05
2 11 5 8 108.616228 3075.112536990327 28.311722784097483 0.05
2 14 6 10 67.4879981 2547.7504840134548 37.75116399568318 0.05
2 17 7 12 54.4777774 2569.5307554052692 47.166585680223974 0.05
2 20 8 14 34.8661281 1972.5685533968733 56.57549779371325 0.05
2 23 9 16 24.7948336 1636.1509901760326 65.9875769513546 0.05
2 26 10 18 20.4168594 1539.5258699563265 75.40463691278231 0.05
2 29 11 20 16.0963544 1365.3738082005138 84.82503393442393 0.05
2 32 12 22 12.2745814 1156.8454298849226 94.24724087820401 0.05
2 35 13 24 10.9741666 1137.6944133716763 103.67023345277775 0.05
2 38 14 26 9.88185492 1117.5712419368688 113.09326548348767 0.05
2 41 15 28 9.15067826 1121.1060002195502 122.51616419737942 0.05
2 44 16 30 8.09875892 1068.5387824372515 131.93858379936214 0.05
2 47 17 32 7.24957476 1024.8045819546892 141.36064746985093 0.05
3 6 4 5 420.959041 3968.895808684323 9.428223228692511 0.05
3 9 5 7 160.62388 3028.758250269305 18.856213971853403 0.05
3 12 6 9 97.2712787 2753.9405323776427 28.311959801322555 0.05
3 15 7 11 73.771863 2785.043930670092 37.75211601569683 0.05
3 18 8 13 48.9316455 2307.9509730708487 47.16683752380346 0.05
3 21 9 15 31.2403657 1767.4356113194758 56.575381616594704 0.05
3 24 10 17 24.9794424 1648.3344392883391 65.98763947142147 0.05
3 27 11 19 18.8794026 1423.5946502910338 75.40464496959422 0.05
