time,dayl (s),prcp (mm/day),srad (W/m2),tmax (degrees C),tmin (degrees C),pet (mm/day)
1980-01-01,33570.26,0.0,481.44,-1.72,-27.16,0.9703927132491328
1980-01-02,33609.73,0.0,338.54,-5.14,-17.32,0.6394733183200948
1980-01-03,33652.43,0.0,472.55,-6.64,-29.07,0.735898682891449
1980-01-04,33698.34,0.0,252.81,-3.47,-12.18,0.6139637762171936
1980-01-05,33747.41,0.0,471.45,0.93,-21.23,1.0593485102649145
1980-01-06,33799.61,0.0,389.55,-3.53,-18.04,0.7514261647066149
1980-01-07,33854.92,4.99,197.42,-5.92,-15.12,0.5593326031053835
1980-01-08,33913.28,11.29,167.02,-8.97,-16.61,0.4467984293074091
1980-01-09,33974.66,9.6,214.35,-5.69,-15.68,0.5898989919394695
1980-01-10,34039.02,22.57,86.7,-7.41,-11.15,0.3783381127264271
1980-01-11,34106.31,0.0,500.68,-2.08,-27.46,1.000028982052334
1980-01-12,34176.5,25.33,290.36,-5.99,-20.55,0.6810932004946485
1980-01-13,34249.53,32.27,203.92,-1.61,-10.91,0.7103645781778992
1980-01-14,34325.36,17.35,267.37,1.66,-11.23,0.9379073375577592
1980-01-15,34403.94,23.95,147.98,-0.81,-7.38,0.6472828515503735
1980-01-16,34485.22,0.0,472.41,-3.06,-22.05,0.9080784224469739
1980-01-17,34569.16,9.66,309.18,-6.01,-21.41,0.7164042951277839
1980-01-18,34655.7,0.0,265.58,-7.15,-15.59,0.5629063301348308
1980-01-19,34744.79,0.0,372.06,-1.16,-13.6,0.8775046537281406
1980-01-20,34836.37,0.0,473.46,0.11,-18.09,1.0720911589665032
1980-01-21,34930.41,0.0,518.15,-3.55,-26.45,0.9752120578892427
1980-01-22,35026.84,0.0,535.42,-3.65,-29.47,1.004592473397662
1980-01-23,35125.6,0.0,527.2,-8.8,-31.82,0.7515610599929476
1980-01-24,35226.66,0.0,526.82,-6.94,-29.4,0.8366764304683062
1980-01-25,35329.94,0.0,497.9,-5.62,-24.34,0.86916750963013
1980-01-26,35435.41,0.0,423.49,-2.54,-16.43,0.9274382838855131
1980-01-27,35543.0,13.91,64.91,-5.07,-7.27,0.39333019191592034
1980-01-28,35652.66,13.67,189.55,-0.74,-8.46,0.7607816103389439
1980-01-29,35764.34,28.47,76.34,-4.56,-7.29,0.43248139980502703
1980-01-30,35877.99,28.62,169.53,-4.81,-11.51,0.6034585695829401
1980-01-31,35993.54,0.0,573.68,-3.89,-31.38,1.0810816983453981
1980-02-01,36110.95,0.0,543.4,-9.88,-30.95,0.7575666688774237
1980-02-02,36230.16,0.0,539.44,-5.82,-26.01,0.9507460205575426
1980-02-03,36351.13,0.0,506.54,0.98,-16.78,1.2849329949854797
1980-02-04,36473.8,0.0,544.95,0.82,-19.75,1.343318055523993
1980-02-05,36598.11,0.0,572.33,-2.27,-25.94,1.2063502633893424
1980-02-06,36724.03,0.0,573.24,-0.32,-24.27,1.3407029174178202
1980-02-07,36851.49,2.11,336.04,-0.1,-15.39,1.124759214771559
1980-02-08,36980.45,0.0,561.25,-4.66,-26.72,1.0838389809795022
1980-02-09,37110.85,0.0,590.58,-6.56,-32.74,1.00250941249207
1980-02-10,37242.66,0.0,573.93,-8.29,-31.46,0.9084729696884608
1980-02-11,37375.82,0.0,588.58,-6.64,-31.53,1.0128336421095858
1980-02-12,37510.29,0.0,575.05,-7.38,-30.67,0.9728167147382303
1980-02-13,37646.02,0.0,558.78,-3.43,-25.22,1.2032360244732947
1980-02-14,37782.96,12.35,337.53,-1.74,-17.7,1.1082531636856987
1980-02-15,37921.07,35.19,118.77,-3.39,-8.24,0.612119290818049
1980-02-16,38060.31,13.57,299.69,-1.69,-14.79,1.0536415901752967
1980-02-17,38200.63,0.0,511.05,-0.88,-18.58,1.3536689208084116
1980-02-18,38341.99,18.85,316.11,-2.47,-16.39,1.0565475865111105
1980-02-19,38484.35,28.65,321.94,-0.33,-14.4,1.1857351269287002
1980-02-20,38627.66,19.05,336.91,-0.99,-15.56,1.1805797101487185
1980-02-21,38771.9,12.98,279.5,-4.32,-15.51,0.9151693851687702
1980-02-22,38917.02,10.49,337.37,-2.6,-16.34,1.0996035717751673
1980-02-23,39062.97,10.82,320.1,-4.05,-16.55,0.9999722846562902
1980-02-24,39209.73,16.6,447.67,-5.53,-26.66,1.087615274869862
1980-02-25,39357.26,0.0,659.78,-6.65,-32.54,1.161889128115003
