56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
1 4 2 3 434.061322 4668.922875779805 10.75636699042216
1 7 3 5 189.157397 4141.458596371654 21.89424607260616
1 10 4 7 108.616228 3208.136422379785 29.53643743161275
1 13 5 9 67.4879981 2714.511393295953 40.22213533840105
1 16 6 11 54.4777774 2882.3836101444554 52.909346667737864
1 19 7 13 34.8661281 2224.3348904524405 63.79644117846399
1 22 8 15 24.7948336 1871.7113787166627 75.48795885916583
1 25 9 17 20.4168594 1773.7506801772374 86.87676421855741
1 28 10 19 16.0963544 1544.0486163419898 95.92536160498491
1 31 11 21 12.2745814 1283.1160554093829 104.53440435935215
1 34 12 23 10.9741666 1215.1175248410511 110.72526681352286
1 37 13 25 9.88185492 1165.2630506792175 117.91946553686275
1 40 14 27 9.15067826 1157.600860657316 126.50437790141645
1 43 15 29 8.09875892 1120.928713341904 138.40746766442876
1 46 16 31 7.24957476 1055.7778361723501 145.63307105923963
2 5 3 4 420.959041 4750.178843363284 11.284182974379409
2 8 4 6 160.62388 3210.849186466973 19.989861946224764
2 11 5 8 97.2712787 2856.9757365677137 29.37121599253443
2 14 6 10 73.771863 3101.537479136906 42.042282152165605
2 17 7 12 48.9316455 2618.3079427531557 53.50950118268872
2 20 8 14 31.2403657 2010.740211305782 64.36352988357565
2 23 9 16 24.9794424 1886.145890745829 75.50792609949649
2 26 10 18 18.8794026 1627.9164911971343 86.22711881768623
2 29 11 20 14.0634452 1333.0227076360964 94.78635488522374
2 32 12 22 12.5965113 1298.6129020084127 103.09306053719911
2 35 13 24 11.5254056 1266.7011840420535 109.9051285485392
2 38 14 26 10.1230512 1190.2854046393024 117.58168373575967
2 41 15 28 8.87256691 1131.966920779565 127.58054487070248
2 44 16 30 7.83657368 1083.4040412217425 138.24971032770824
2 47 17 32 6.98030793 1022.9173810235471 146.54330314386962
3 6 4 5 396.373334 4038.3015273532815 10.188126145118737
3 9 5 7 165.077091 3363.4828900330554 20.37522511244795
3 12 6 9 94.7022421 2916.4038144406354 30.795509691957285
3 15 7 11 72.2381716 3149.033194935355 43.592371251757356
3 18 8 13 41.623572 2252.4881691797455 54.11568639951769
3 21 9 15 30.8640817 2005.3918324430565 64.97493921690392
3 24 10 17 22.6510048 1726.0389425679823 76.20142937623599
3 27 11 19 16.3491988 1402.8449137757937 85.80511687066853
3 30 12 21 14.4061536 1362.9763711341664 94.61070657570708
3 33 13 23 12.8384781 1317.110140768742 102.59083128932096
3 36 14 25 11.47582 1256.620782387479 109.50161142188348
3 39 15 27 9.89247051 1159.457675950302 117.20607858049625
3 42 16 29 8.57508165 1111.2095961799014 129.58589101946353
3 45 17 31 7.61458457 1044.4779632772158 137.1680823392859
3 48 18 33 6.66377059 998.3560298603032 149.81848735286417
4 7 5 6 333.968287 3641.9427931003406 10.905055763873595
4 10 6 8 170.999333 3563.838425237488 20.841241674536167
4 13 7 10 92.1768445 3047.9709878071035 33.066558139849356
4 16 8 12 59.1003545 2663.4260975109387 45.06616110925255
4 19 9 14 38.3202792 2087.4327054437244 54.47331671434493
4 22 10 16 27.5815236 1797.9025489809494 65.18503383116041
4 25 11 18 19.1095315 1456.5584060201754 76.22156545387706
4 28 12 20 16.2513422 1389.2222829887244 85.4835413525859
4 31 13 22 14.6279924 1386.834093394873 94.80686450143855
4 34 14 24 13.1912646 1346.4088238737959 102.06821443592268
4 37 15 26 10.9928925 1196.5305904243148 108.84583747401467
4 40 16 28 9.34728497 1103.094260869991 118.01226392587354
4 43 17 30 8.19782455 1065.4839735893863 129.9715512439683
4 46 18 32 7.16949149 989.3190437442539 137.99012735061547
4 49 19 34 6.40100337 977.0929548144555 152.64684274247705
5 8 6 7 339.990037 3624.4414731056713 10.660434361803583
5 11 7 9 129.618545 2712.1626270145184 20.92418663559692
5 14 8 11 91.3387116 3067.1631505714054 33.58010088869488
5 17 9 13 53.3675748 2307.205536346098 43.23234745053654
5 20 10 15 33.9466714 1817.626607448692 53.54358859021129
5 23 11 17 22.9583019 1489.792907212102 64.8912499583474
5 26 12 19 18.7832753 1404.2774454550574 74.76211805589931
5 29 13 21 16.4028507 1390.2338069499965 84.7556215914345
5 32 14 23 14.4745877 1354.9959867062223 93.61206099889272
5 35 15 25 12.4429762 1246.6440378079037 100.18857367965582
5 38 16 27 10.2747206 1105.9634279164661 107.63927029961924
5 41 17 29 8.801843 1039.9083357213965 118.14665811710077
5 44 18 31 7.64345597 983.9490849488807 128.7309155453774
5 47 19 33 6.84183896 959.2715350963628 140.2066813768389
5 50 20 35 6.26614005 961.0572964834424 153.3730955284733
6 9 7 8 369.234233 3778.67025949742 10.233802615743432
6 12 8 10 120.558615 2596.028891142683 21.533333732663426
6 15 9 12 79.9538517 2626.31413161542 32.84787506510359
6 18 10 14 42.0470353 1747.3909361985209 41.55800578402542
6 21 11 16 27.5793858 1444.696155718328 52.383188160714155
6 24 12 18 22.039913 1407.6088029000646 63.86635023922575
6 27 13 20 18.2802645 1353.8871763029272 74.06277826575906
6 30 14 22 16.5851888 1381.7456100227382 83.31202174935375
6 33 15 24 13.8189194 1260.9846364058226 91.25059636760183
6 36 16 26 11.483726 1126.89171896368 98.12945022927923
6 39 17 28 9.50126385 1009.4348338709684 106.24216418018624
6 42 18 30 8.11141605 965.2816663062946 119.00285478591553
6 45 19 32 7.26403795 933.7406661426612 128.54292234839733
6 48 20 34 6.59030368 939.5445589796102 142.5646836018959
6 51 21 36 6.26490536 966.6959218348774 154.30335596240792
7 10 8 9 255.933677 2638.104262012536 10.307765249715597
7 13 9 11 147.050961 3169.5685120834555 21.55421828275883
7 16 10 13 66.2938411 2071.0566799106746 31.240559387509602
7 19 11 15 34.6261578 1426.5767034501948 41.19939358244924
7 22 12 17 28.0333039 1476.7736508154342 52.67925807401653
7 25 13 19 22.3414795 1412.0957779914454 63.20511486231006
7 28 14 21 18.9179213 1392.5053739413586 73.60773691036333
7 31 15 23 15.6468317 1287.3546798455095 82.27574147458297
7 34 16 25 13.1302053 1178.178715216515 89.7304107816589
7 37 17 27 10.6910323 1028.459200315472 96.19830634273472
7 40 18 29 8.79424753 934.699331498792 106.2853107454882
7 43 19 31 7.83673825 933.8871966296184 119.16784341107966
7 46 20 33 7.06224407 915.1711278607762 129.58644855512281
7 49 21 35 6.40728563 921.2727670912449 143.78518772094213
7 52 22 37 6.10974394 949.246688836667 155.3660346748782
8 11 9 10 340.102379 3536.060843774891 10.397048248153805
8 14 10 12 130.543917 2737.2059132313866 20.96770172164657
8 17 11 14 50.132182 1501.4947232693312 29.950715555714915
8 20 12 16 39.9603907 1632.3982753417215 40.850408285465576
8 23 13 18 30.4955288 1609.4026424070596 52.77503639835423
8 26 14 20 23.8028126 1497.8542760110158 62.92761705022271
8 29 15 22 19.3073639 1391.6391458126866 72.07815385986933
8 32 16 24 15.2716203 1239.4743290751774 81.16193990726559
8 35 17 26 12.6651792 1108.8887893825502 87.55413341348934
8 38 18 28 9.77817757 937.421622643749 95.86874608616347
8 41 19 30 8.47203396 913.2131373316229 107.79148686646943
8 44 20 32 7.68373841 918.348745569063 119.51848131293463
8 47 21 34 6.81944288 896.8216565097686 131.5095195151438
8 50 22 36 6.35174647 922.5494676698561 145.24343375907068
8 53 23 38 6.07254561 942.2929399462062 155.1726410081597
9 12 10 11 373.439533 3820.802624810201 10.23138229130712
9 15 11 13 82.1191941 1666.3911376953338 20.29234646002613
9 18 12 15 51.3436579 1552.2521300998274 30.232597239625722
9 21 13 17 39.6438135 1674.7700075390835 42.24543149813485
9 24 14 19 29.9059152 1584.0814125498168 52.96883248534781
9 27 15 21 22.3368285 1406.8983885651626 62.985592988958246
9 30 16 23 17.7876542 1277.4585630609934 71.81714624635515
9 33 17 25 14.2277314 1132.9464774636567 79.6294536080191
9 36 18 27 11.2307027 972.3773646053141 86.58205907323271
9 39 19 29 9.23380864 892.3942722853061 96.6442241849736
9 42 20 31 8.28777441 908.125644646078 109.57412686695919
9 45 21 33 7.31082577 882.5187866954566 120.71396781426192
9 48 22 35 6.49760452 876.7024143280865 134.92701989318465
9 51 23 37 6.42350746 940.8340961324342 146.46734700490785
9 54 24 39 5.94526425 923.1704230359913 155.27828271653212
