56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
903
# a b m n r rhoa k err
2 11 5 8 108.616228 3208.136422379758 29.5364374316125 0.05
2 14 6 10 67.4879981 2714.5113932958843 40.22213533840004 0.01
2 17 7 12 54.4777774 2882.3836101444044 52.90934666773693 0.01
2 20 8 14 34.8661281 2224.334890452413 63.79644117846322 0.01
2 23 9 16 24.7948336 1871.7113787166577 75.48795885916563 0.01
2 26 10 18 20.4168594 1773.7506801772215 86.87676421855663 0.01
2 29 11 20 16.0963544 1544.0486163419616 95.92536160498315 0.01
2 32 12 22 12.2745814 1283.116055409346 104.53440435934915 0.01
2 35 13 24 10.9741666 1215.1175248410007 110.72526681351827 0.023134211607867463
2 38 14 26 9.88185492 1165.2630506791625 117.91946553685717 0.01
2 41 15 28 9.15067826 1157.600860657259 126.50437790141024 0.01
2 44 16 30 8.09875892 1120.9287133418445 138.40746766442143 0.01
2 47 17 32 7.24957476 1055.7778361722942 145.63307105923192 0.019187286908703055
3 9 5 7 160.62388 3210.8491864669686 19.989861946224735 0.01
3 12 6 9 97.2712787 2856.9757365676774 29.371215992534058 0.01
3 15 7 11 73.771863 3101.5374791368436 42.04228215216476 0.01
3 18 8 13 48.9316455 2618.307942753111 53.50950118268782 0.01
3 21 9 15 31.2403657 2010.7402113057751 64.36352988357544 0.01
3 24 10 17 24.9794424 1886.1458907458218 75.50792609949619 0.01
3 27 11 19 18.8794026 1627.9164911971109 86.227118817685 0.01
3 30 12 21 14.0634452 1333.0227076360636 94.78635488522141 0.01
3 33 13 23 12.5965113 1298.6129020083656 103.09306053719537 0.01
3 36 14 25 11.5254056 1266.7011840419987 109.90512854853444 0.01
3 39 15 27 10.1230512 1190.2854046392472 117.5816837357542 0.01
3 42 16 29 8.87256691 1131.9669207795114 127.58054487069644 0.01
3 45 17 31 7.83657368 1083.4040412216902 138.24971032770156 0.01
3 48 18 33 6.98030793 1022.9173810234912 146.5433031438616 0.012583792750139782
4 13 7 10 94.7022421 2916.4038144405795 30.795509691956692 0.01
4 16 8 12 72.2381716 3149.033194935308 43.59237125175671 0.01
4 19 9 14 41.623572 2252.4881691797227 54.11568639951714 0.01
4 22 10 16 30.8640817 2005.3918324430492 64.97493921690368 0.01
4 25 11 18 22.6510048 1726.0389425679696 76.20142937623542 0.01
4 28 12 20 16.3491988 1402.8449137757686 85.80511687066699 0.01
4 31 13 22 14.4061536 1362.9763711341238 94.61070657570414 0.01
4 34 14 24 12.8384781 1317.110140768692 102.59083128931707 0.01
4 37 15 26 11.47582 1256.62078238743 109.50161142187922 0.01
4 40 16 28 9.89247051 1159.457675950251 117.20607858049112 0.01
4 43 17 30 8.57508165 1111.2095961798557 129.5858910194582 0.01
4 46 18 32 7.61458457 1044.4779632771642 137.16808233927912 0.01
4 49 19 34 6.66377059 998.3560298602526 149.81848735285658 0.01
5 14 8 11 92.1768445 3047.9709878070503 33.06655813984878 0.01
5 17 9 13 59.1003545 2663.4260975109146 45.066161109252135 0.01
5 20 10 15 38.3202792 2087.4327054437176 54.47331671434475 0.01
5 23 11 17 27.5815236 1797.9025489809467 65.18503383116031 0.01
5 26 12 19 19.1095315 1456.558406020159 76.22156545387621 0.01
5 29 13 21 16.2513422 1389.222282988691 85.48354135258384 0.01
5 32 14 23 14.6279924 1386.8340933948273 94.80686450143543 0.01
5 35 15 25 13.1912646 1346.4088238737506 102.06821443591924 0.01
5 38 16 27 10.9928925 1196.530590424271 108.84583747401068 0.01
5 41 17 29 9.34728497 1103.0942608699513 118.01226392586929 0.01
5 44 18 31 8.19782455 1065.4839735893408 129.97155124396275 0.01
5 47 19 33 7.16949149 989.3190437442069 137.9901273506089 0.01
5 50 20 35 6.40100337 977.0929548144094 152.64684274246983 0.01
6 12 8 10 129.618545 2712.162627014497 20.924186635596758 0.01
6 15 9 12 91.3387116 3067.1631505713754 33.58010088869455 0.01
6 18 10 14 53.3675748 2307.205536346083 43.23234745053626 0.01
6 21 11 16 33.9466714 1817.6266074486912 53.54358859021127 0.01
6 24 12 18 22.9583019 1489.7929072120912 64.89124995834693 0.01
6 27 13 20 18.7832753 1404.2774454550338 74.76211805589804 0.01
6 30 14 22 16.4028507 1390.2338069499592 84.75562159143223 0.01
6 33 15 24 14.4745877 1354.9959867061864 93.61206099889023 0.01
6 36 16 26 12.4429762 1246.644037807866 100.18857367965278 0.01
6 39 17 28 10.2747206 1105.9634279164295 107.63927029961569 0.01
6 42 18 30 8.801843 1039.9083357213603 118.14665811709665 0.01
6 45 19 32 7.64345597 983.9490849488416 128.73091554537228 0.01
6 48 20 34 6.84183896 959.2715350963202 140.20668137683268 0.01
6 51 21 36 6.26614005 961.0572964834025 153.37309552846693 0.01
7 13 9 11 120.558615 2596.0288911426615 21.533333732663248 0.01
7 16 10 13 79.9538517 2626.3141316153947 32.84787506510327 0.01
7 19 11 15 42.0470353 1747.390936198516 41.558005784025305 0.01
7 22 12 17 27.5793858 1444.6961557183247 52.383188160714035 0.01
7 25 13 19 22.039913 1407.608802900044 63.86635023922482 0.01
7 28 14 21 18.2802645 1353.8871763028974 74.06277826575744 0.01
7 31 15 23 16.5851888 1381.745610022705 83.31202174935174 0.01
7 34 16 25 13.8189194 1260.9846364057894 91.25059636759944 0.01
7 37 17 27 11.483726 1126.8917189636484 98.12945022927649 0.01
7 40 18 29 9.50126385 1009.4348338709335 106.24216418018256 0.01
7 43 19 31 8.11141605 965.2816663062601 119.00285478591128 0.01
7 46 20 33 7.26403795 933.7406661426235 128.54292234839212 0.01
7 49 21 35 6.59030368 939.544558979571 142.56468360188995 0.01
7 52 22 37 6.26490536 966.6959218348362 154.30335596240135 0.01
8 11 9 10 255.933677 2638.1042620125468 10.30776524971564 0.01
8 14 10 12 147.050961 3169.568512083427 21.554218282758633 0.01
8 17 11 14 66.2938411 2071.0566799106728 31.24055938750957 0.01
8 20 12 16 34.6261578 1426.5767034501896 41.19939358244909 0.01
8 23 13 18 28.0333039 1476.773650815415 52.679258074015856 0.01
8 26 14 20 22.3414795 1412.0957779914227 63.205114862309046 0.01
8 29 15 22 18.9179213 1392.5053739413304 73.60773691036184 0.01
8 32 16 24 15.6468317 1287.3546798454804 82.27574147458111 0.01
8 35 17 26 13.1302053 1178.1787152164866 89.73041078165674 0.01
8 38 18 28 10.6910323 1028.4592003154396 96.19830634273171 0.01
8 41 19 30 8.79424753 934.6993314987621 106.28531074548481 0.01
8 44 20 32 7.83673825 933.8871966295864 119.16784341107557 0.01
8 47 21 34 7.06224407 915.1711278607393 129.58644855511758 0.01
8 50 22 36 6.40728563 921.2727670912087 143.78518772093648 0.01
8 53 23 38 6.10974394 949.2466888366286 155.3660346748719 0.01
9 15 11 13 130.543917 2737.205913231369 20.96770172164643 0.01
9 18 12 15 50.132182 1501.4947232693269 29.950715555714826 0.01
9 21 13 17 39.9603907 1632.3982753417065 40.8504082854652 0.01
9 24 14 19 30.4955288 1609.402642407032 52.77503639835333 0.01
9 27 15 21 23.8028126 1497.8542760109938 62.92761705022178 0.01
9 30 16 23 19.3073639 1391.639145812657 72.0781538598678 0.01
9 33 17 25 15.2716203 1239.4743290751528 81.16193990726399 0.01
9 36 18 27 12.6651792 1108.8887893825176 87.55413341348677 0.013952406016728522
9 39 19 29 9.77817757 937.421622643717 95.8687460861602 0.01
9 42 20 31 8.47203396 913.213137331594 107.79148686646602 0.01
9 45 21 33 7.68373841 918.3487455690308 119.51848131293043 0.01
9 48 22 35 6.81944288 896.8216565097304 131.5095195151382 0.01
9 51 23 37 6.35174647 922.549467669819 145.24343375906486 0.01
9 54 24 39 6.07254561 942.2929399461666 155.1726410081532 0.01
10 16 12 14 82.1191941 1666.3911376953233 20.292346460026003 0.01
10 19 13 16 51.3436579 1552.2521300998064 30.232597239625317 0.01
10 22 14 18 39.6438135 1674.77000753905 42.245431498134 0.01
10 25 15 20 29.9059152 1584.0814125497923 52.96883248534699 0.01
10 28 16 22 22.3368285 1406.8983885651342 62.98559298895697 0.01
10 31 17 24 17.7876542 1277.4585630609652 71.81714624635357 0.01
10 34 18 26 14.2277314 1132.9464774636247 79.62945360801686 0.01
10 37 19 28 11.2307027 972.3773646052813 86.58205907322979 0.01
10 40 20 30 9.23380864 892.3942722852744 96.64422418497016 0.01
10 43 21 32 8.28777441 908.1256446460477 109.57412686695554 0.01
