n,x,y,z
1,0.0,0.0,0.0
2,0.0,0.0,-1.818182
3,0.0,0.0,-3.636364
4,0.0,0.0,-5.454545
5,0.0,0.0,-7.272727
6,0.0,0.0,-9.090909
7,0.0,0.0,-10.909091
8,0.0,0.0,-12.727273
9,0.0,0.0,-14.545455
10,0.0,0.0,-16.363636
11,0.0,0.0,-18.181818
12,0.0,0.0,-20.0
13,10.0,0.0,0.0
14,10.0,0.0,-1.818182
15,10.0,0.0,-3.636364
16,10.0,0.0,-5.454545
17,10.0,0.0,-7.272727
18,10.0,0.0,-9.090909
19,10.0,0.0,-10.909091
20,10.0,0.0,-12.727273
21,10.0,0.0,-14.545455
22,10.0,0.0,-16.363636
23,10.0,0.0,-18.181818
24,10.0,0.0,-20.0
